@relation learnngCellDatasetAgeBalanced

@attribute ArticleId numeric
@attribute PMCid numeric
@attribute TableName String
@attribute SpecPragmatics {BaselineCharacteristic}
@attribute CellContent String
@attribute Header String
@attribute Stub String
@attribute SuperRow String
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasValue {yes,No}

@data
4908,3338391,'Table 1',BaselineCharacteristic,xx.x,'Study sites ;  ; High transmission ;  ; Vohimasy ; xxx ;  ; ',None,None,7,2,?,yes
4908,3338391,'Table 1',BaselineCharacteristic,xx.x,'Study sites ;  ; Low transmission ;  ; Ampasimpotsy ; xxx ;  ; ',None,None,7,3,?,yes
4908,3338391,'Table 1',BaselineCharacteristic,xx.x,'Study sites ;  ; Low transmission ;  ; Andasibe ; xxx ;  ; ',None,None,7,4,?,yes
5055,3368715,'Table 1',BaselineCharacteristic,'xx.x ± x.xx','Febuxostat xx mgN = xxx ; ','Mean ± SD',?,19,1,3,yes
5055,3368715,'Table 1',BaselineCharacteristic,'xx.x ± x.xx','Febuxostat xx mgN = xxx ; ','Mean ± SD',?,19,2,3,yes
5055,3368715,'Table 1',BaselineCharacteristic,'xx.x ± x.xx','Allopurinol xxx/xxx mgN = xxx ; ','Mean ± SD',?,19,3,3,yes
5055,3368715,'Table 1',BaselineCharacteristic,xx-xx,'Febuxostat xx mgN = xxx ; ',Range,?,20,1,3,yes
5055,3368715,'Table 1',BaselineCharacteristic,xx-xx,'Febuxostat xx mgN = xxx ; ',Range,?,20,2,3,yes
5055,3368715,'Table 1',BaselineCharacteristic,xx-xx,'Allopurinol xxx/xxx mgN = xxx ; ',Range,?,20,3,3,yes
5330,3414800,'Table 1',BaselineCharacteristic,xx.x±xx.x,'OSA ; snorers ; AHI<x n=xx ; ',Age,None,3,1,3,yes
5330,3414800,'Table 1',BaselineCharacteristic,xx.x±xx.x,' ; mild/moderate ; AHI x – xx n=xx ; ',Age,None,3,2,3,yes
5330,3414800,'Table 1',BaselineCharacteristic,xx.x±x.x,' ; severe ; AHI?xx n=xx ; ',Age,None,3,3,3,yes
5383,3427446,'Table 1',BaselineCharacteristic,xx.x?±?xx.x,'Values (N?=?xx) ; ','Age (mean ± SD)',None,2,1,3,yes
5383,3427446,'Table 2',BaselineCharacteristic,xx.x?±?x.x,'Group x (N?=?xx) ; ','Age (mean ± SD)',?,2,1,3,yes
5383,3427446,'Table 2',BaselineCharacteristic,xx.x?±?xx.x,'Group x (N?=?xx) ; ','Age (mean ± SD)',?,2,2,3,yes
5569,3466131,'Table 1',BaselineCharacteristic,'xx (xx–xx)','Group A ; (XELIRI-Bev) ; N?=?xxx ; ','Median (range)',' Age',4,1,3,yes
5569,3466131,'Table 1',BaselineCharacteristic,'xx (xx–xx)','Group B ; (FOLFIRI-Bev) ; N?=?xxx ; ','Median (range)',' Age',4,2,3,yes
5637,3483844,Table 1.,BaselineCharacteristic,xx,'Value ; ',?Mean,' Age (years)',5,1,3,yes
5637,3483844,Table 1.,BaselineCharacteristic,xx–xx,'Value ; ',?Range,' Age (years)',6,1,3,yes
5696,3493663,Table 1,BaselineCharacteristic,'xx.x (xx.x–xx.x)','ITT xx (xxx.x \%) ; ','Median age/years (range)',' Gender',4,1,3,yes
5696,3493663,Table 1,BaselineCharacteristic,'xx.x (xx.x–xx.x)','PP xx (xxx.x \%) ; ','Median age/years (range)',' Gender',4,2,3,yes
5758,3502482,'Table 1',BaselineCharacteristic,'xx (xx–xx)','xx Gy step (n?=?xx) ; ','Median age (years)(min-max)',?,1,1,3,yes
5758,3502482,'Table 1',BaselineCharacteristic,'xx (xx–xx)','xx Gy step (n?=?xx) ; ','Median age (years)(min-max)',?,1,2,3,yes
6191,3588608,'Table 1',BaselineCharacteristic,'xx.xx ± xx.xx','Age means ± SD (years) ; ','A (n = xx)',None,1,1,3,yes
6191,3588608,'Table 1',BaselineCharacteristic,'xx.xx ± xx.xx','Age means ± SD (years) ; ','B (n = xx)',None,2,1,3,yes
6191,3588608,'Table 1',BaselineCharacteristic,'xx.xx ± xx.xx','Age means ± SD (years) ; ','C (n = x)',None,3,1,3,yes
6191,3588608,'Table 1',BaselineCharacteristic,'xx.xx ± xx.xx','Age means ± SD (years) ; ','Entire group (n = xx)',None,4,1,3,yes
6286,3599166,Table 1,BaselineCharacteristic,xx.x ± x.x,'Moderate (n = x) ; PRE ; ','Age (years)',None,2,1,3,yes
6286,3599166,Table 1,BaselineCharacteristic,xx.x ± x.x,'High (n = xx) ; PRE ; ','Age (years)',None,2,3,3,yes
6540,60660,'Table 1',BaselineCharacteristic,'xx.x (xx–xx)*','Mean age years ; ','UV exposed',None,1,2,3,yes
6540,60660,'Table 1',BaselineCharacteristic,'xx.x (xx–xx)*','Mean age years ; ',Non-exposed,None,2,2,3,yes
4539,3231981,'Table 1',BaselineCharacteristic,'x hxx × x/Week','Modality of dialysis ; x h × x/Week ;  ; x h × x/Week ;  ; x h × x/Week ;  ; x h × x/Week ;  ; x h × x/Week ;  ; ',None,None,11,6,?,No
5055,3368715,'Table 1',BaselineCharacteristic,'Prior urate lowering therapies, n (\%)','Variable ; ',None,None,45,0,24,No
1376,2360764,'Table 1',BaselineCharacteristic,'?Lymph nodes',' ; Characteristics ; ','?Lymph nodes',' Metastatic sites',21,0,2,No
2811,2758901,'Table 1',BaselineCharacteristic,'?Avg. pack-years',' ;  ;  ; TOTAL ;  ; ','?Avg. pack-years',?,25,0,?,No
5055,3368715,'Table 1',BaselineCharacteristic,xx-xx,'Febuxostat xx mgN = xxx ; ',Range,' Body mass index (kg/mx)',24,2,3,No
1291,2360092,'Table 1',BaselineCharacteristic,SD,'OR ; ',' x',?,8,11,3,No
309,1586008,'Table 1',BaselineCharacteristic,'Mitral valve disease','Variables ; ','Mitral valve disease',None,18,0,2,No
5569,3466131,'Table 1',BaselineCharacteristic,'Organs involved','Group A ; (XELIRI-Bev) ; N?=?xxx ; ','Organs involved',None,37,1,43,No
6311,3600043,'Table 1',BaselineCharacteristic,'x.x (x.x)','Hypomanic n?=?xx ; ','Duration of current episode in months (mean, SD)',?,13,2,3,No
3308,2905428,'Table 1',BaselineCharacteristic,?,' ; ',?,' T classification',10,0,2,No
1287,2360042,'Table 1',BaselineCharacteristic,'Best overall response (day xx)','Characteristic ; ','Previous surgery',?,28,3,43,No
2737,2734077,'Table 1',BaselineCharacteristic,?,'Patients ; CBT+TAU Group (n = xx, xx men) ; ','Reaction Time (msec)',None,11,2,43,No
715,1998889,Table 2,BaselineCharacteristic,'xx (l.c.)','Survival (mo.) post surgery ; ',xx,' Patients without obvious tumour at baseline followed by tumour recurrence',10,10,3,No
6405,420259,'Table 3',BaselineCharacteristic,x,?,?,?,28,5,3,No
215,1488867,'Table 1',BaselineCharacteristic,'xx (xx)','n(\%) ; ','?Infiltrating ductal ca',' Histology',9,1,3,No
1287,2360042,'Table 1',BaselineCharacteristic,?,'\% ; ',?,?,17,2,3,No
2834,2765955,'Table 1',BaselineCharacteristic,'xx.x (x.x)','Males ; (n = xx) ; xx.x (xx.x) ;  ; x.xx (x.x) ;  ; xx.x (xx.x) ;  ; ',None,None,8,1,?,No
5696,3493663,Table 1,BaselineCharacteristic,'Survivin-specific T-cell reactivity (SSTR)b',' ; ',None,None,23,0,24,No
3275,2894785,'Table 1',BaselineCharacteristic,--,'Intervention Groupn = xx ; ','?diabetes mellitus+hyperlipidemia',' Age, mean ± SD (years)',21,1,?,No
3030,2820141,'Table 6',BaselineCharacteristic,'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' Age at Diagnosis',20,2,3,No
4861,3321091,'Table 2',BaselineCharacteristic,x,?,' Period of  neurological  impairement  (Years) ',None,8,9,3,No
5937,3539065,Table 3,BaselineCharacteristic,'xx (xx)','Cohort x ; Lapatinib x,xxx mg + placebo ; ','Asian, n (\%)',?,5,1,3,No
4585,3247194,'Table 1',BaselineCharacteristic,'SGRQ-C Total score','Characteristic ; Number ;  ; Age (yrs) ;  ; Male (\%) ;  ; Smoking, pack-years ;  ; FEVx \% predicted ;  ; \% Low attenuation area on CT (< -xxxHU) ;  ; Radiologist Score ;  ;  ;  ;  ;  ;  ;  ; \% reversibility FEVx ;  ; BMI ;  ; Fat free mass index ;  ; ','SGRQ-C Total score',?,45,0,?,No
2207,2481444,'Table 2',BaselineCharacteristic,?,'Intubated ; ',xx,None,12,2,3,No
2269,2551676,'TABLE 1',BaselineCharacteristic,'Recipient ',?,?,None,0,4,1,No
2811,2758901,'Table 1',BaselineCharacteristic,?,'Gefitinib ; No ;  ; xxx ;  ; ',None,None,32,1,?,No
1362,2360617,'Table 1',BaselineCharacteristic,x.xx,'THC treatment ; Total dose (mg) ; ',x,None,3,7,3,No
4585,3247194,'Table 1',BaselineCharacteristic,x,'Characteristic ; Number ;  ; Age (yrs) ;  ; Male (\%) ;  ; Smoking, pack-years ;  ; FEVx \% predicted ;  ; \% Low attenuation area on CT (< -xxxHU) ;  ; < x\% emphysema ;  ; x-xx\% emphysema ;  ; xx-xx\% emphysema ;  ; > xx\% emphysema ;  ; \% reversibility FEVx ;  ; BMI ;  ; Fat free mass index ;  ; ',?,?,31,1,?,No
4185,3152943,'Table 1',BaselineCharacteristic,?,'Canakinumab xxx mg SC qxwk, n = xx ; xx (xx.x) ;  ; xx.xx (xx.xxx) ;  ; xx.xx (x.xxx) ;  ; ',None,None,20,2,?,No
1273,2359721,'Table 1',BaselineCharacteristic,x,?,?Yes,' Prior hormonal therapy',16,1,3,No
309,1586008,'Table 1',BaselineCharacteristic,'Mean New York Heart Association Functional class','Variables ; ','Mean New York Heart Association Functional class',None,15,0,2,No
2834,2765955,'Table 1',BaselineCharacteristic,?,'Males ; (n = xx) ; xx.x (xx.x) ;  ; x.xx (x.x) ;  ; xx.x (xx.x) ;  ; xx.x (x.x) ;  ; x ;  ; x ; ',None,None,13,1,?,No
5758,3502482,'Table 1',BaselineCharacteristic,'xxx\%','xx Gy step (n?=?xx) ; ',Negative,' Herx status',19,1,3,No
5842,3519573,'Table 3',BaselineCharacteristic,'xj. Knowing when the injection pen has finished injecting the medicine',' ; ','xj. Knowing when the injection pen has finished injecting the medicine',None,11,0,2,No
3030,2820141,'Table 6',BaselineCharacteristic,xxx,' ;  ; N ; ',Overall,?,3,1,3,No
5842,3519573,'Table 3',BaselineCharacteristic,x.x,'SD ; ','xf. Setting the dose',None,7,3,3,No
4246,3165084,'Table 1',BaselineCharacteristic,x(x),'Number(percent) ; xx(xxx) ;  ; ',?,?,14,1,?,No
5558,3464767,'Table 1',BaselineCharacteristic,?Txa–c,' ; Parameter ; ',?Txa–c,' Tumour size',6,0,2,No
5569,3466131,'Table 1',BaselineCharacteristic,'x (x)','Group A ; (XELIRI-Bev) ; N?=?xxx ; ','Missing data',' Stage at diagnosis',27,1,3,No
715,1998889,Table 2,BaselineCharacteristic,'x,xxx/xxxI','Cum. activity (MBq)/nuclide ; ',xx,' Patients without obvious tumour at baseline followed by tumour recurrence',2,5,3,No
3097,2835652,'Table 1',BaselineCharacteristic,?,'x.x ?g ; xx ; ',None,None,33,2,3,No
6405,420259,'Table 2',BaselineCharacteristic,?,'Uterodome – shape ; ','group x vs group x',None,10,16,3,No
4428,3208500,'Table 1',BaselineCharacteristic,?,'Number of patients ; ',None,None,36,1,3,No
1291,2360092,'Table 1',BaselineCharacteristic,+,'RT ; ',xx,?,34,8,3,No
3085,2828459,'Table 1',BaselineCharacteristic,'Gestational age (weeks)','Study population characteristics ; ','Gestational age (weeks)',None,1,0,2,No
4428,3208500,'Table 1',BaselineCharacteristic,xx,'Number of patients ; ',?PR,' Previous gefitinib response',38,1,3,No
6405,420259,'Table 2',BaselineCharacteristic,'SD (x,x.x)','Single cilium ; ','group x vs group x',None,7,7,3,No
3097,2835652,'Table 1',BaselineCharacteristic,?,'x.x ?g ; xx ; ',None,None,33,2,3,No
1423,2361378,'Table 1',BaselineCharacteristic,'Prior chemotherapy lines','n (\%) ; ','Prior chemotherapy lines',None,23,1,43,No
4539,3231981,'Table 1',BaselineCharacteristic,'Triacetate (TRICEAxxx-Baxter)','Dialysis membrane ; Polysufone (ARYLANE Hx - Hospal) ;  ; Diacetate (DICEAxxx-Baxter) ;  ; PMMA (BKFxx-Toray) ;  ; Diacetate (DICEA xxx-Baxter) ;  ; ',None,None,9,5,?,No
3105,2837631,'Table 1',BaselineCharacteristic,xx,?,?Tamoxifen,' pN stage (not including DCIS) Ormonotherapy',41,1,3,No
2207,2481444,'Table 2',BaselineCharacteristic,xx,'Timea ; ',x,None,2,1,3,No
449,1885552,'Table 1',BaselineCharacteristic,'xx ± x,x','Diastolic blood pressure (mm Hg) ; ','Vibration (xx)',None,3,5,3,No
3030,2820141,'Table 6',BaselineCharacteristic,?,'Event-free Survival ± SE (\%) ;  ; p-value ; ',?,' WBC (× xxx/L)',25,5,3,No
1287,2360042,'Table 1',BaselineCharacteristic,?,'Characteristic ; ',?,?,17,0,2,No
5558,3464767,'Table 1',BaselineCharacteristic,'?ER negative/PR negative',' ; Parameter ; ','?ER negative/PR negative',' Hormone receptor status',19,0,2,No
4011,3097354,Table 1,BaselineCharacteristic,x,'Control group, N?=?xx ; ','FIGO stage',None,10,4,3,No
4539,3231981,'Table 1',BaselineCharacteristic,'Old age, diabetes, pace-maker, panhypotuitarism - Diastolic dvsfunction','Risks factors for dialysis hypotension ; Long duration of dialysis (x years), SLE still active treated by steroïds and ciclosporin - Diastolic dysfunction ;  ; Very old age, severe ischemic cardiopathy - Diastolic dysfunction ;  ; Cardiac graft for ten years-Diastolic dysfunction ;  ; Very old age, severe ischemic cardiopathy-Diastolic dysfunction ;  ; ',None,None,9,7,?,No
4539,3231981,'Table 1',BaselineCharacteristic,?,'Cause of renal failure ; SLE ;  ; Atherosclerotic nephropathy ; ',None,None,4,4,?,No
2811,2758901,'Table 1',BaselineCharacteristic,xx,'Gefitinib ; No ;  ; xxx ;  ; ',?Adenocarcinoma,?,29,1,?,No
3276,2894820,'Table 4',BaselineCharacteristic,xx.x,'Control(mean) ; ','Family or Adult',?,23,2,43,No
715,1998889,Table 1,BaselineCharacteristic,x,'RIT cycles ; ',xx,' Serial FET PET monitoring during and after RIT',8,4,3,No
4305,3176247,'Table 1',BaselineCharacteristic,?,'Characteristics ;  ;  ; ',Metastatic,?,20,1,3,No
5842,3519573,'Table 3',BaselineCharacteristic,x.x,'Mean ; ','xm. Disposing of the cartridge or disposing of the injection pen',None,14,2,3,No
4585,3247194,'Table 1',BaselineCharacteristic,?,'Characteristic ; Number ;  ; Age (yrs) ;  ; Male (\%) ;  ; Smoking, pack-years ;  ; FEVx \% predicted ;  ; \% Low attenuation area on CT (< -xxxHU) ;  ; < x\% emphysema ;  ; x-xx\% emphysema ;  ; xx-xx\% emphysema ;  ; > xx\% emphysema ; ',None,None,20,1,?,No
6405,420259,'Table 2',BaselineCharacteristic,?,'Uterodome – shape ; ','group x vs group x',None,6,16,3,No
3162,2855860,Table 1,BaselineCharacteristic,'xxx (xx)','Sunitinib (N = xxx) ; ',?,' Prior lines of systemic therapy for advanced disease, n (\%)',35,1,3,No
6405,420259,'Table 3',BaselineCharacteristic,x,?,?,?,28,13,3,No
5330,3414800,'Table 1',BaselineCharacteristic,'xx,x±x,x',' ; mild/moderate ; AHI x – xx n=xx ; ','Average SaO²',None,6,2,3,No
3030,2820141,'Table 7',BaselineCharacteristic,?,'Event-free Survival ± SE (\%) ; ',?,None,1,5,1,No
2230,2517161,Table 1,BaselineCharacteristic,xxx,'Procedure time (min) ; ',xx,None,16,1,3,No
1376,2360764,'Table 1',BaselineCharacteristic,?x,' ; Characteristics ; ',?x,' ECOG PS',9,0,2,No
1410,2361304,'Table 2',BaselineCharacteristic,'Lung, mediastinal nodes','Site of disease ; ',xx,None,1,6,3,No
6405,420259,'Table 3',BaselineCharacteristic,x,?,'n = xx',?,18,4,43,No
1985,2395315,'Table 1',BaselineCharacteristic,'EMP alone',?,?,None,0,2,1,No
3030,2820141,'Table 6',BaselineCharacteristic,'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Immunophenotype',5,7,3,No
2230,2517161,Table 1,BaselineCharacteristic,xx.x,'Fluoroscopy time (min) ; ',x,None,3,2,3,No
5704,3494535,'Table 1',BaselineCharacteristic,no,'Background diseases ; ',xx,None,14,6,3,No
5636,3483202,'Table 1',BaselineCharacteristic,'CRP mmol/L',' ; ','CRP mmol/L',?,8,0,2,No
6405,420259,'Table 3',BaselineCharacteristic,x,?,?,?,28,3,3,No
1410,2361304,'Table 2',BaselineCharacteristic,xx,'Age ; ',xx,None,2,0,2,No
5636,3483202,'Table 1',BaselineCharacteristic,'xx (x–xx)','Diabetes mellitus, n?=?xx ; ','Dialysis vintage years',?,10,1,3,No
6405,420259,'Table 2',BaselineCharacteristic,?,'Single cilium ; ','group x vs group x',None,10,7,3,No
3291,2902493,'Table 1',BaselineCharacteristic,'x (xx\%)','xx ; xx [xx-xx] ;  ; ',?,?,27,2,?,No
6405,420259,'Table 3',BaselineCharacteristic,x,?,'n = xx',?,27,18,43,No
6405,420259,'Table 3',BaselineCharacteristic,x,?,'Group x',?,2,5,3,No
2230,2517161,Table 1,BaselineCharacteristic,xx,'Procedure time (min) ; ',x,None,3,1,3,No
5558,3464767,'Table 1',BaselineCharacteristic,'Tumour size','Lapatinib ; No. ; ','Tumour size',None,2,3,43,No
715,1998889,Table 2,BaselineCharacteristic,'Patients with small residual tumour at baseline followed by tumour progression','WHO ; ','Patients with small residual tumour at baseline followed by tumour progression',None,12,2,43,No
1291,2360092,'Table 1',BaselineCharacteristic,x.x,'Survival ; ',xx,?,24,13,3,No
2370,2599890,'Table 1',BaselineCharacteristic,'x.x (x.x–x.x)','Mean (range) lactate (mmol/l)x ; ',xx,None,11,11,3,No
3094,2831811,'Table 1',BaselineCharacteristic,xx,'Patients ; x ;  ; x ;  ; x ;  ; x ;  ; x ;  ; x ;  ; x ;  ; x ;  ; x ;  ; xx ;  ; xx ;  ; xx ;  ; xx ;  ; ',None,None,27,0,?,No
5162,3397213,Table 1,BaselineCharacteristic,?,?,None,None,0,0,12,No
166,1389847,'Table II.',BaselineCharacteristic,'DC injection no.',?,'Patient ID',None,0,1,1,No
3275,2894785,'Table 1',BaselineCharacteristic,?,'Intervention Groupn = xx ; ',None,None,8,1,?,No
4305,3176247,'Table 1',BaselineCharacteristic,?,'Characteristics ;  ;  ; ',Locoregional,?,19,1,3,No
4744,3291838,Table 3,BaselineCharacteristic,'x.xx (x.xx–x.xx)','Daily phenprocoumon dose, mg ; ',?,' Alcohol consumption',49,2,3,No
715,1998889,Table 1,BaselineCharacteristic,xx/xx,'Surgery ; ',xx,' Serial FET PET monitoring during and after RIT',7,3,3,No
2811,2758901,'Table 1',BaselineCharacteristic,?,'Erlotinib ; \% ;  ;  ;  ; ',None,None,22,4,?,No
6405,420259,'Table 3',BaselineCharacteristic,x,?,?,?,22,9,3,No
5696,3493663,Table 2,BaselineCharacteristic,Dacarbazine,'Previous therapy in stage-IV ; ',f,None,8,7,3,No
1291,2360092,'Table 1',BaselineCharacteristic,+,'RT ; ',xx,?,21,8,3,No
