@relation learnngCellDatasetAge-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.supervised.instance.Resample-B1.0-S1-Z3.0

@attribute CellContent string
@attribute Header string
@attribute Stub string
@attribute SuperRow string
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasAge {No,yes}

@data
'<x,xx',' ;  ; P ; ','Body Mass Index (kg/mx)',None,7,4,3,No
?,?,?,?,13,0,2,No
x.xxx,'Event-free Survival ± SE (\%) ;  ; p-value ; ',?,' Sex',14,5,3,No
'Differentiation grade','Number of patients ; ',None,None,23,0,24,No
Nx,' ; ',?,' N classification',13,1,3,No
'Age, years','\% ; ','Age, years',?,3,2,43,No
?,'Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',Immunophenotype,None,4,8,43,No
?,'Event-free Survival ± SE (\%) ; ',?,None,1,3,1,No
x.x-x.x,'Range ; ','xi. Injecting the medicine',None,10,6,3,No
xx.x ± x.x,'High (n = xx) ; POST ; ','BMI (kg m?x)*',None,5,4,3,No
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' T-lineage†',13,7,3,No
?,'Intervention group, N?=?xx ; ',Chemotherapy,None,19,1,3,No
????x*,'Patient and infusion procedure no. ; ',????x*,' Patient x   ',4,0,2,No
'OPN (ng/mL)','Max ; ','OPN (ng/mL)',None,4,6,43,No
'ALT (U\\l)',' ; ','ALT (U\\l)',None,3,0,2,No
'x (x)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ','?Hyperplasia with/without atypia',' Primary Risk Factors for Enrollment',17,2,3,No
'x.x (xx/xx)','TUmax/BG: baseline ; ',xx,' Serial FET PET monitoring during and after RIT',9,8,3,No
xx,'Patient ; ',xx,None,16,0,2,No
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' CNS leukemia',28,2,3,No
x,?,'n = xx',?,4,2,3,No
x.x-x.x,'Range ; ','xi. Injecting the medicine',None,10,6,3,No
'Serum level albumin <x.x mg/dl','HSPPC-xx Dose Level ; Enrolled, no. ; ','Serum level albumin <x.x mg/dl',?,22,0,2,No
?,'No ; ',None,None,2,5,3,No
'LV ejection duration (ms)',' ;  ; ','LV ejection duration (ms)',None,6,0,2,No
xx.x±x.x,' ; ','MRSS at baseline',?,16,1,3,No
x.xxx,'Overall Survival ± SE (\%) ;  ; p-value ; ',?,' T-lineage†',12,9,3,No
'Clinical nodal status','Trastuzumab ; No. ; ','Clinical nodal status',None,21,1,43,No
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; xx-yr EFS ; ',?,' t(x;xx)',32,4,3,No
xx.x,'Fluoroscopy time (min) ; ',x,None,2,2,3,No
'xx (xx.x)','Value ; ',?,' Nicotine habitsa',15,1,3,No
R,'Response ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; R ;  ; R ;  ; R ;  ; R ;  ; ',None,None,23,4,?,No
x,?,?Other,' Histologic type',11,1,3,No
'?Autologous stem cell transplant','Parameter ; ','?Autologous stem cell transplant',' Previous treatment, n (\%)',38,0,2,No
xx,'n ; ',?,' PROC c.-xxx',38,1,3,No
?Brain,?,?Brain,' Sites of metastasis',38,0,2,No
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Randomizations Doxurubicin (HR only)',56,6,3,No
'x (x.x)','Placebo, n = xx ; xx (xx.x) ;  ; xx.xx (xx.xxx) ;  ; x.xx (x.xxx) ;  ; ','?> x',?,13,4,?,No
PD,'Failure ; ',xx,?,27,9,3,No
x.x,'Lapatinib ; \% ; ','?ER negative/PR positive',' Hormone receptor status',18,4,3,No
'xx (xx.x\%)','Iobitridol xxx (n?=?xx) ; ',?,' Patient disposition',23,1,3,No
xx.x,'PASI End of treatment ; x.x ;  ; x.x ;  ; xx.x ;  ; xx.x ;  ; *NA ;  ; ',None,None,11,6,?,No
'x (x.x)','No (\%) ; ',?,' N classification',13,2,3,No
EIAB,'Operation name ; ',xx,None,13,5,3,No
xx,'APACHE II score ; ',xx,None,11,4,3,No
'x.x (x.x–xx.x)','PP xx (xxx.x \%) ; ','Median overall survival months (xx \% CI)d',' Best overall responsec',35,2,3,No
'xx (xx)','Number(percent) ; xx(xxx) ;  ; ',?,?,21,1,?,No
?,' ;  ; Protocol ; ',?,' WBC (× xxx/L)',25,0,2,No
x.x,'Recipient  ; x ; ','AxC (\%)',None,8,7,3,No
x,'THC treatment ; Number of cycles ; ',x,None,4,6,3,No
?,?,?,?,8,0,2,No
?,' ;  ;  ; TOTAL ;  ; ',None,None,36,0,?,No
'Mean (range) MAP (mmHg)x',?,Nox,None,0,10,1,No
Smoking,?,Donors,None,0,3,1,No
?,' ;  ;  ; TOTAL ;  ; ',None,None,34,0,?,No
xx,'THC treatment ; Total days ; ',x,None,3,5,3,No
'xx ± x','RA ; ','Mean CP area [cmx]',None,11,1,3,No
'xx\% autism, x\% PDD/NOS, x\% Asperger\'s','Total ; ',Diagnosis,None,5,1,3,No
x,?,'n = xx',?,21,5,43,No
'xxx.x (xx.x)','Smoker Controls ; xx ;  ; xx.x (x.x) ;  ; xx\% ;  ; xx.x (xx.x) ;  ; ',None,None,9,3,?,No
'xx (xx.x\%)','Total (N?=?xxx) ; ',Father,None,13,1,3,No
'Injecting the medicine','Subscale/Total Score ; ','Injecting the medicine',None,4,0,2,No
?,'Mean AGE (SD) ; ','TOTAL COHORT',None,4,2,3,No
'Male, no (\%)','HSPPC-xx Dose Level ; Enrolled, no. ; ','Male, no (\%)',?,2,0,2,No
'x.xx ± x.xx','Diffuse Steatosis(n xx) ; ','USG Steatosis Grade',None,9,2,3,No
'xx (xx)','Docetaxel xx mg/mxn?=?xx ; ',?,' Prior chemotherapy, n (\%)',18,4,3,No
xxx,'Intervention(mean) ; ',?,?,11,3,3,No
xx,'Islet viability (\%) ; ','Patient x',?,20,6,3,No
IDC,'Pathology ; ',x,None,2,2,3,No
xx,'Timea ; ',xx,None,16,1,3,No
Sex,'xx ; ',Sex,None,1,1,43,No
CR,'OR ; ',xx,?,18,11,3,No
?,'Characteristics ; ',None,None,14,0,?,No
'BMI (kg/mx)',' ;  ; ','BMI (kg/mx)',None,5,0,2,No
'Brain alone','HSPPC-xx Dose Level ; Enrolled, no. ; ','Brain alone',?,36,0,2,No
xx,'Total ; xx ; ','Chemotherapy + IFN + IL-x',?,17,1,3,No
'Prior treatment: no. of regimens','HSPPC-xx Dose Level ; Enrolled, no. ; ',None,None,8,0,24,No
?,'No ; ',?,?,7,1,3,No
?Negative,'Characteristics ; ',?Negative,' EGFR mutation status',28,0,2,No
xx,?,?Evaluable,None,2,1,1,No
'xx (xx–xx)','Mean (range) MAP (mmHg)x ; ',xx,None,12,10,3,No
?,'Peioperative complication ; ',xx,None,14,9,3,No
'x (x)','Cilengitide xxx mg/mxn?=?xx ; ',?,' Tumor stage, n (\%)',9,2,3,No
xx,'Age, years ; ',xx,None,14,3,3,No
x,?,?,?,16,8,3,No
?,' ;  ; N ; ',B-precursor†,None,8,1,43,No
xx,'No diabetes mellitus, n?=?xxx ; ','Married or cohabitant \%',?,4,2,3,No
x,'Gefitinib ; No ;  ; xxx ;  ; ',?Mixed,?,37,1,?,No
x,?,?,?,10,3,3,No
'?Other substances',' ; ','?Other substances',' Psychiatric history Lifetime substance-use disorder (n,\%)',17,0,2,No
?,'No. of patients ; ','Previous therapy',None,27,1,43,No
x,?,?,?,16,19,3,No
?,'Patients Only ; CBT+TAU Group Mean (SD) ; Follow-up ; ','Age at Illness Onset (Years)',None,3,2,3,No
?Peritoneum,' ; ',?Peritoneum,' Metastasis sites',15,0,2,No
x,'Number ; xx (range xx-xx) ;  ; ',None,None,3,1,?,No
x.xx,'Control(mean) ; ',?,?,8,2,3,No
x,?,'n = xx',?,15,19,43,No
x,'Duration surgery (hr) ; ',x,None,8,4,3,No
?Lung,' ; ',?Lung,' Metastasis sites',17,0,2,No
?,'Modality of dialysis ; x h × x/Week ;  ; x h × x/Week ;  ; x h × x/Week ;  ; x h × x/Week ; ',None,None,8,6,?,No
Good,'Postop. CTA patency(x days) ; ',x,None,9,8,3,No
'xx.x ± xx.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Age at Diagnosis',18,7,3,No
'xx (xxx)','Cohort x (xxx mg of posaconazole), n?=?xx ; ','?Hispanic or Latino',' Ethnicity, n (\%)',6,1,3,No
x,?,'Group x',?,23,10,3,No
x/x,'Placebo ; ',Smoker,None,4,2,3,No
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Randomizations Doxorubicin (HR only)',45,8,3,No
x.x,'Tumor size (cm) ; ',x,None,1,3,3,No
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' B-precursor†',10,7,3,No
xx,'Trastuzumab ; \% ; ',?Yes,' pCR',27,2,3,No
R,'Response ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; NR ;  ; R ;  ; R ;  ; R ;  ; ',None,None,21,4,?,No
M,?,' Gender ',None,1,4,3,No
x.xxx,'Overall Survival ± SE (\%) ;  ; p-value ; ',?,' Age at Diagnosis',18,9,3,No
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' Age at Diagnosis',19,2,3,No
'Cardiac graft for ten years-Diastolic dysfunction','Risks factors for dialysis hypotension ; Long duration of dialysis (x years), SLE still active treated by steroïds and ciclosporin - Diastolic dysfunction ;  ; Very old age, severe ischemic cardiopathy - Diastolic dysfunction ;  ; ',None,None,5,7,?,No
?,'Overall Survival ± SE (\%) ;  ; p-value ; ','CNS leukemia',None,26,9,43,No
x.x,?,'(Group x)',?,5,2,3,No
'CYPxFx c.xxxx','n ; ','CYPxFx c.xxxx',None,12,1,43,No
x,'No. of PET scans ; ',xx,' Serial FET PET monitoring during and after RIT',8,7,3,No
?,?,?,None,0,1,1,No
'FIGO Stage*',?,None,None,4,0,2,No
????x*,'Patient and infusion procedure no. ; ',????x*,' Patient x   ',9,0,2,No
?Radiotherapy,' ; ',?Radiotherapy,' Previous therapy',40,0,2,No
'Median age (range)',' ; ','Median age (range)',None,2,0,2,No
Diagnosis,?,None,None,6,0,24,No
'x (x.x\%)','Floor (\%) ; ','xh. Using the needle guardx',None,9,4,3,No
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' WBC (× xxx/L)',23,8,3,No
xx,?,' Age (Years) ',None,2,9,3,No
MATI,'First line ; ',xx,?,31,5,3,No
?,?,None,None,27,1,3,No
?,'Control group, N?=?xx ; ',Chemotherapy,None,19,3,3,No
'xxx cells','Dose ; ',None,None,1,2,3,No
'Gender, n (\%)','Variable ; ',None,None,1,0,24,No
x.xx,'p value ; p value ; ',Male,' Age (years), mean?±?SD',3,3,3,No
Gender,'ITT xx (xxx.x \%) ; ',Gender,None,1,1,43,No
'xx (l.c.)','Survival (mo.) post surgery ; ',xx,' Patients without obvious tumour at baseline followed by tumour recurrence',8,10,3,No
?Yes,?,?Yes,' Prior hormonal therapy',16,0,2,No
'Tumour location','xx ; ','Tumour location',None,29,1,43,No
x.xxx,'Event-free Survival ± SE (\%) ;  ; p-value ; ',?,' DFCI Risk Group',49,4,3,No
?,'Characteristic ; Age ;  ; ECOG PS x* ;  ; ECOG PS x ;  ; Males ;  ; Females ;  ; White ;  ; Hispanic ;  ; Prior surgery ;  ; Prior radiation ;  ; ',None,None,22,0,?,No
x,?,?,?,13,17,3,No
?,'Allopurinol xxx/xxx mgN = xxx ; ',None,None,34,3,3,No
x,'Patients ; Number ; ',x,None,10,2,3,No
xx,?,' Sitting Height  (cm) ',None,4,5,3,No
?,' ;  ; Age ; ',None,None,3,0,?,No
'x.xx (x.xx–x.xx)','Daily phenprocoumon dose, mg ; ',?,' CYPxFx c.xxxx',14,2,3,No
Duration,?,Patient,None,0,12,1,No
x,?,'n = x',?,12,14,43,No
x,'Total ; xx ; ','Chemotherapy + IFN',?,18,1,3,No
?,'Overall Survival ± SE (\%) ;  ; x-yr OS ; ','WBC (× xxx/L)',None,21,6,43,No
FOGQ,?,?,None,0,8,1,No
'x.x (x.x–x.x)','ITT xx (xxx.x \%) ; ','Median progression-free survival months (xx \% CI)d',' Best overall responsec',34,1,3,No
xx,'Patients ; Percentage of irradiated bone marrow volume ; ',xx,None,11,5,3,No
Cutaneous,'Localization of primary melanoma ; ',m,None,10,2,3,No
?,'Cause of renal failure ; SLE ;  ; Atherosclerotic nephropathy ;  ; Interstitial nephrotoxic nephritis (Ciclosporin) ;  ; Atherosclerotic nephropathy ;  ; Diabetes melitus type II ; ',None,None,10,4,?,No
'Fluid in (ml/kg)x',?,Nox,None,0,8,1,No
?,'Wilcoxon’s p ; ','On-treatment samples*',' NO (?mol/L)',3,7,3,No
?,' ;  ; Protocol ; ',?,' WBC (× xxx/L)',25,0,2,No
x.xxx,'p value* ; ',?,' GGCX c.xxx+xxx',35,5,3,No
Patients,?,None,None,0,0,12,No
'Primary tumor, n (\%)','Variable ; ',None,None,6,0,24,No
xx.x,'Control(mean) ; ','Family or Adult',?,23,2,43,No
x.xx,'Control(mean) ; ',?,?,6,2,3,No
MVP,'First line ; ',xx,?,14,5,3,No
'xx (l.c.)','Survival (mo.) post surgery ; ',xx,' Serial FET PET monitoring started after the end of RIT',2,11,3,No
'x (xx.x\%)','EMP & VBL ; xx ; ','Recent weight loss >x?kg',?,18,1,3,No
'Ceiling (\%)',?,'Subscale/Total Score',None,0,5,1,No
'Median number of sites (range)','Parameter ; ','Median number of sites (range)',?,6,0,2,No
?,'Trastuzumab ; \% ; ',?Missing,' Clinical nodal status',24,2,3,No
'Long duration of dialysis (x years), SLE still active treated by steroïds and ciclosporin - Diastolic dysfunction','Risks factors for dialysis hypotension ; ',None,None,1,7,?,No
xx,'Patient ; ',xx,?,29,0,2,No
Maturity,?,'Patient ID',None,0,5,1,No
'Regimen II','Vaccination regimen ; ',f,None,8,5,3,No
x,'First-line ;  ; No ; ',?,?,13,2,3,No
x,?,'Group x',?,20,11,3,No
'Patients with small residual tumour at baseline followed by tumour progression','Sex ; ','Patients with small residual tumour at baseline followed by tumour progression',None,12,1,43,No
'xx (xx\%)',?,?TxNx,' Stage',7,1,3,No
?,'Characteristics ;  ;  ;  ;  ; Cohort population ;  ; Mean age (months) ;  ; Sex ratio (M/F) ; ',None,None,10,0,?,No
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' B-precursor†',9,2,3,No
x.xxx,'AHI ; r ; ',HOMA-IR,None,9,1,3,No
?,?,None,None,0,0,12,No
xx,'No ; ',?x=low,' Motzer risk factor',14,1,3,No
?,'EMP & VBL ; xx ; ','Degree of pain from metastases',None,10,1,43,No
Noncompliance,' ; ',Noncompliance,?,15,0,?,No
'xx.x (xx.x)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ',?Median,' Age (years)',7,2,3,yes
'xx.xx (xx.xxx)','Canakinumab xxx mg SC qxwk, n = xx ; xx (xx.x) ;  ; ',None,None,3,2,?,yes
'xx [xx-xx]','xx ; ',None,None,1,2,?,yes
'xx (xx)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ',?Median,' Age (years)',7,1,3,yes
xx.x,'Study sites ;  ; Low transmission ;  ; Andasibe ; xxx ;  ; ',None,None,7,4,?,yes
xx.x?±?xx.x,'ISSAAC ; N?=?xxx ; ',Male,' Age (years), mean?±?SD',3,1,3,yes
xx.x,'Lapatinib plus bevacizumab ; (N = xx) ; ','Median age, years',None,2,1,3,yes
x.xx,'Intervention(mean) ; ',Child,?,1,3,43,yes
'xx.x (xx.x)','Males ; (n = xx) ; ',None,None,2,1,?,yes
xx.x?±?xx.x.,'INSECT ; N?=?xxx ; ',Male,' Age (years), mean?±?SD',3,2,3,yes
xx,'x.x ?g ; xx ; ','Median age (range), years',?,3,2,3,yes
xx,'Sunitinib (N = xxx) ; ',?,' Age, years',2,1,3,yes
'xx (xx–xx)',?,'Age in years, median (range)',?,4,1,3,yes
xx.x,'Study sites ;  ; High transmission ;  ; Ampasimanjeva ; xxx ;  ; ',None,None,7,1,?,yes
xx,'n ; ','?Median (years)',' Age',6,1,3,yes
'xx.x (x.x)','Smoker Controls ; xx ;  ; ',None,None,3,3,?,yes
xx.x?±?xx.x,'ISSAAC ; N?=?xxx ; ',Male,' Age (years), mean?±?SD',3,1,3,yes
xx.x ± x.x,'Moderate (n = x) ; PRE ; ','Age (years)',None,2,1,3,yes
'xx.x ± x.xx','Allopurinol xxx/xxx mgN = xxx ; ','Mean ± SD',?,19,3,3,yes
xx.x,'Study sites ;  ; Low transmission ;  ; Andasibe ; xxx ;  ; ',None,None,7,4,?,yes
'xx.x (xx–xx years)',?,'Mean Age',?,1,1,3,yes
'xx.x (xx–xx)','Cohort x (xxx mg of posaconazole), n?=?xx ; ','?median (range)',' Age, years',9,1,3,yes
'xx.x (xx.x–xx.x)','Cilengitide xxx mg/mxn?=?xx ; ','Mean age (range), yrs',?,2,2,3,yes
'xx.xx ± xx.xx','Age means ± SD (years) ; ','C (n = x)',None,3,1,3,yes
'xx.x (x.x)','Females ; (n = xx) ; ',None,None,2,2,?,yes
'xx (xx–xx)','xx Gy step (n?=?xx) ; ','Median age (years)(min-max)',?,1,1,3,yes
'xx.x ± x.xx','Febuxostat xx mgN = xxx ; ','Mean ± SD',?,19,1,3,yes
'xx–xx (xx ± x.x)',?,'Age, range, yr (mean ± SD)',None,1,1,3,yes
xx,'n ; ','?Median (years)',' Age',6,1,3,yes
xx.xx (xx.xx),'Healthy Participants (n = xx; xx men) ; Healthy Participants (n = xx; xx men) ; ','Age (Years)',?,3,1,3,yes
x.x,'Phase x - placebo ; ','Age (years)',None,4,3,3,yes
x.x,'Phase x - placebo ; ','Age (years)',None,4,3,3,yes
'xx.x ± x.x','N° (\%) ; ','Mean age (years)',None,2,1,3,yes
xx.x,'Study sites ;  ; Low transmission ;  ; Ampasimpotsy ; xxx ;  ; ',None,None,7,3,?,yes
xx,'n(\%) ; ',?Median,' Age (years)',2,1,3,yes
xx?±?xx,'Result ; ','Age, years, mean',?,1,1,3,yes
'xx (xx.x)','Cohort x ; Lapatinib x,xxx mg + placebo ; ','Mean age, years (SD)',?,3,3,3,yes
'xx (xx–xx)','Control group, N?=?xx ; ','Age (median, range)',None,1,4,3,yes
xx.x,'No ; ',?Median,' Age, years',4,1,3,yes
'x.x ±x.x (x.x–xx.x)','Iobitridol xxx (n?=?xx) ; ',?,' Baseline characteristics',2,1,3,yes
xx.x(xx~xx),'All patients ;  ;  ; ','Age, median',?,5,6,3,yes
xx?±?xx,'Result ; ','Age, years, mean',?,1,1,3,yes
xx,'Second-line ;  ; No ; ','Age, median',?,5,4,3,yes
'xx,x ± x,x','Age (years) ; ','Vibration (xx)',None,3,1,3,yes
'xx (xx)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ',?Median,' Age (years)',7,1,3,yes
'xx.x (x.x)','Cohort x (xxx mg of posaconazole), n?=?x ; ','?mean (SD)',' Age, years',8,2,3,yes
xx-xx,'Gefitinib ; No ;  ; xxx ;  ; ',?Range,?,15,1,?,yes
'xx.x (xx.x–xx.x)','Total n?=?xxx ; ','Mean age (range), yrs',?,2,5,3,yes
xx,' ; ',?Median,' Age, in years, median (range)',2,1,3,yes
xx–xx,'Number of patients ; ',?Range,' Age (years)',9,1,3,yes
xx–xx,?,'Range, years',None,3,1,1,yes
xx,'Patient I ; ','Age (years)',None,1,1,3,yes
'xx (xx-xx)','Total ; xx ; ','Median age (range), years',?,3,1,3,yes
'xx.xx (xx.xxx)','Canakinumab xxx mg SC qxwk, n = xx ; xx (xx.x) ;  ; ',None,None,3,2,?,yes
xx.xx,'Gefitinib ; No ;  ; xxx ;  ; ','?Avg. age',?,13,1,?,yes
'xx.xx ± xx.xx','Age means ± SD (years) ; ','Entire group (n = xx)',None,4,1,3,yes
'xx,x ± x,x','Age (years) ; ','Stretching (xx)',None,1,1,3,yes
xx.x ± x.x,'High (n = xx) ; PRE ; ','Age (years)',None,2,3,3,yes
xx–xx,'No. of patients ; ',?Range,' Age (years)',8,1,3,yes
xx.x ± x.x,'High (n = xx) ; PRE ; ','Age (years)',None,2,3,3,yes
'xx (xx–xx)','Subgroup A ; ','Median age (range)',None,2,2,3,yes
'xx.x (x.x)','Non-smoker Controls ; xx ;  ; ',None,None,3,4,?,yes
xx-xx,'No (\%) ; ',?,' Age',2,2,3,yes
xx.xx,'Erlotinib ; No ;  ; xx ;  ; ','?Avg. age',?,13,3,?,yes
'xx.xx ± xx.xx','Age means ± SD (years) ; ','B (n = xx)',None,2,1,3,yes
'xx.x (xx.x)','Global N?=?xxx ; ','Age (mean, SD)',' Sociodemographic characteristics',3,5,3,yes
'xx.x (+/? x.x)','Placebo ; ','Age (years)',None,1,2,3,yes
xx,'xx ?g ; xx ; ','Median age (range), years',?,3,3,3,yes
'xx (xx–xx)','Nevirapine arm (n?=?xx) ; ','Age (years), median (IQR)',None,2,2,3,yes
'xx.x (xx–xx)','All subjects, n?=?xx ; ','?median (range)',' Age, years',9,4,3,yes
'xx.x ± xx.x','Steatohepatitis (n xx) ; ',Age(years),None,1,1,3,yes
'xx (xx-xx)','Total ; xx ; ','Median age (range), years',?,3,1,3,yes
'xx (x.x)','Mean AGE (SD) ; ',Controls,None,3,2,3,yes
xx,' ; ',?Median,' Age, in years, median (range)',2,1,3,yes
'xx (xx.x)','Cohort x ; Lapatinib x,xxx mg + pazopanib xxx mg ; ','Mean age, years (SD)',?,3,2,3,yes
xx.x,'Study sites ;  ; High transmission ;  ; Vohimasy ; xxx ;  ; ',None,None,7,2,?,yes
'xx–xx (xx–xx)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ',?Range,' Age (years)',8,2,3,yes
xx–xx,'Value ; ',?Range,' Age (years)',6,1,3,yes
'xx (xx–xx)','Subgroup A ; ','Median age (range)',None,2,2,3,yes
xx,'Patient II ; ','Age (years)',None,1,2,3,yes
xx,'No (\%) ; ',?,' Age',3,2,3,yes
x.xx,'Control(mean) ; ',Child,?,1,2,43,yes
xx.x±xx.x,' ; mild/moderate ; AHI x – xx n=xx ; ',Age,None,3,2,3,yes
x.xx,'Control(mean) ; ',Child,?,1,2,43,yes
'xx.x (xx.x–xx.x)','Cilengitide xxx mg/mxn?=?xx ; ','Mean age (range), yrs',?,2,1,3,yes
xx–xx,'n(\%) ; ',?Range,' Age (years)',3,1,3,yes
xx-xx,'Febuxostat xx mgN = xxx ; ',Range,?,20,2,3,yes
xx,'xxx ?g ; x ; ','Median age (range), years',?,3,4,3,yes
'xx (xx–xx)','Intervention group, N?=?xx ; ','Age (median, range)',None,1,2,3,yes
xx.x,'Study sites ;  ; Low transmission ;  ; Ampasimpotsy ; xxx ;  ; ',None,None,7,3,?,yes
xx–xx,'No ; ',?Range,' Age, years',5,1,3,yes
'xx.xx ± xx.xx','Age means ± SD (years) ; ','B (n = xx)',None,2,1,3,yes
xx-xx,'Gefitinib ; No ;  ; xxx ;  ; ',?Range,?,15,1,?,yes
'xx.x (xx.x)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ',?Median,' Age (years)',7,2,3,yes
'xx (xx.x)','Cohort x ; Lapatinib x,xxx mg + placebo ; ','Mean age, years (SD)',?,3,3,3,yes
'xx.x (xx–xx)','Placebo, n?=?x ; ','?median (range)',' Age, years',9,3,3,yes
xx,'n (\%) ; ',?Median,' Age (years)',3,1,3,yes
xx-xx,'Gefitinib ; No ;  ; xxx ;  ; ',?Range,?,15,1,?,yes
xx-xx,'No (\%) ; ',?,' Age',2,2,3,yes
'xx.x (xx.x)','No diabetes mellitus, n?=?xxx ; ','Age years',?,1,2,3,yes
'xx.x (x.x)','Cohort x (xxx mg of posaconazole), n?=?x ; ','?mean (SD)',' Age, years',8,2,3,yes
xx–xx,'No ; ',?Range,' Age, years',5,1,3,yes
'xx.x ± x.x','N° (\%) ; ','Mean age (years)',None,2,1,3,yes
'xx.x ± x.x','Diffuse Steatosis(n xx) ; ',Age(years),None,1,2,3,yes
'xx.xx (xx.xxx)','Canakinumab xxx mg SC qxwk + xxx mg IV loading dose, n = xx ; xx (xx.x) ;  ; ',None,None,3,3,?,yes
'xx.x (x.x)','Cohort x (xxx mg of posaconazole), n?=?x ; ','?mean (SD)',' Age, years',8,2,3,yes
'xx.x (xx.x–xx.x)','Cilengitide xxx mg/mxn?=?xx ; ','Mean age (range), yrs',?,2,3,3,yes
(xx-xx),'Second-line ;  ; (\%) ; ','Age, median',?,5,5,3,yes
'xx.x (± xx.x)','ControlGroupn = xxx ; ','Age, mean ± SD (years)',?,1,2,?,yes
x.x,'Total ; ','Age (years)',None,4,1,3,yes
'xx.x (xx.x)','Males ; (n = xx) ; ',None,None,2,1,?,yes
'xx.x (xx.x)','Mixed n?=?xx ; ','Age (mean, SD)',' Sociodemographic characteristics',3,3,3,yes
xx-xx,'Allopurinol xxx/xxx mgN = xxx ; ',Range,?,20,3,3,yes
xx-xx,'Allopurinol xxx/xxx mgN = xxx ; ',Range,?,20,3,3,yes
'xx.xx ± xx.xx','Age means ± SD (years) ; ','A (n = xx)',None,1,1,3,yes
'xx.x (x.x)','Cohort x (xxx mg of posaconazole), n?=?xx ; ','?mean (SD)',' Age, years',8,1,3,yes
xx.x,'Study sites ;  ; High transmission ;  ; Ampasimanjeva ; xxx ;  ; ',None,None,7,1,?,yes
