ArticleId,PMCid,TableName,SpecPragmatics,CellContent,Header,Stub,SuperRow,rowN,columnN,function,hasAge,actual,predicted,error,prediction
449,1885552,Table 1,BaselineCharacteristic,"xxx ± x,x",Height (cm) ; ,Vibration (xx),None,3,3,3,No,1:No,2:yes,+,0.53
449,1885552,Table 1,BaselineCharacteristic,"xxx ± xx,x",Systolic blood pressure (mm Hg) ; ,Vibration (xx),None,3,4,3,No,1:No,2:yes,+,0.54
1233,2259321,Table 1,BaselineCharacteristic,xx (xx),Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ,Samples,,5,1,3,No,1:No,2:yes,+,0.605
1233,2259321,Table 1,BaselineCharacteristic,xx (xxx,Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ,Samples,,5,2,3,No,1:No,2:yes,+,0.595
1233,2259321,Table 1,BaselineCharacteristic,,Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ,Age (years),None,6,1,43,No,1:No,2:yes,+,0.651
1233,2259321,Table 1,BaselineCharacteristic,,Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ,Age (years),None,6,2,43,No,1:No,2:yes,+,0.651
1233,2259321,Table 1,BaselineCharacteristic,xx (xx),Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ,Premenopausal,,9,2,3,No,1:No,2:yes,+,0.545
1233,2259321,Table 1,BaselineCharacteristic,xx (xx),Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ,?White, Race,11,1,3,No,1:No,2:yes,+,0.525
1233,2259321,Table 1,BaselineCharacteristic,xx (xx),Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF(plasma) ; ,?White, Race,11,2,3,No,1:No,2:yes,+,0.515
1273,2359721,Table 1,BaselineCharacteristic,"Median age, years",,None,None,2,0,12,No,1:No,2:yes,+,0.545
1283,2359964,Table 1,BaselineCharacteristic,Median age (range),,None,None,0,0,12,No,1:No,2:yes,+,0.505
1376,2360764,Table 1,BaselineCharacteristic,"Age, years (range)", ; Characteristics ; ,"Age, years (range)",,2,0,2,No,1:No,2:yes,+,0.518
1376,2360764,Table 1,BaselineCharacteristic,,% ; xxx ; ,"Age, years (range)",,2,2,3,No,1:No,2:yes,+,0.71
1423,2361378,Table 1,BaselineCharacteristic,xx,n (%) ; ,Patients enrolled,,1,1,3,No,1:No,2:yes,+,0.524
1504,2361889,Table 1,BaselineCharacteristic,Median (range),,Median (range), Age (years),2,0,2,No,1:No,2:yes,+,0.518
1504,2361889,Table 1,BaselineCharacteristic,xx (xx.x%),,Postmenopause, Age (years),3,1,3,No,1:No,2:yes,+,0.58
1504,2361889,Table 1,BaselineCharacteristic,x (xx.x%),,Premenopause, Age (years),4,1,3,No,1:No,2:yes,+,0.54
2207,2481444,Table 1,BaselineCharacteristic,xx,"Age, years ; ",x,None,1,3,3,No,1:No,2:yes,+,0.6
2207,2481444,Table 1,BaselineCharacteristic,xx,"Age, years ; ",x,None,2,3,3,No,1:No,2:yes,+,0.56
2207,2481444,Table 1,BaselineCharacteristic,xx,"Age, years ; ",x,None,3,3,3,No,1:No,2:yes,+,0.55
2207,2481444,Table 1,BaselineCharacteristic,xx,"Age, years ; ",x,None,4,3,3,No,1:No,2:yes,+,0.51
2207,2481444,Table 1,BaselineCharacteristic,xx,"Age, years ; ",x,None,5,3,3,No,1:No,2:yes,+,0.51
2246,2527821,Table 1,BaselineCharacteristic,"Median age (range), years", ; ,"Median age (range), years",,2,0,2,No,1:No,2:yes,+,0.57
2269,2551676,TABLE 1,BaselineCharacteristic,xx,Recipient  ; x ; ,Age (years),None,2,1,3,No,1:No,2:yes,+,0.58
2269,2551676,TABLE 1,BaselineCharacteristic,xx,Recipient  ; x ; ,Age (years),None,2,2,3,No,1:No,2:yes,+,0.54
2269,2551676,TABLE 1,BaselineCharacteristic,xx,Recipient  ; x ; ,Age (years),None,2,3,3,No,1:No,2:yes,+,0.55
2269,2551676,TABLE 1,BaselineCharacteristic,xx,Recipient  ; x ; ,Age (years),None,2,4,3,No,1:No,2:yes,+,0.52
2269,2551676,TABLE 2,BaselineCharacteristic,xx,Age (years) ; ,????x, Patient x   ,2,1,3,No,1:No,2:yes,+,0.59
2269,2551676,TABLE 2,BaselineCharacteristic,xx,Age (years) ; ,????x*, Patient x   ,3,1,3,No,1:No,2:yes,+,0.55
2269,2551676,TABLE 2,BaselineCharacteristic,xx,Age (years) ; ,????x*, Patient x   ,4,1,3,No,1:No,2:yes,+,0.52
2269,2551676,TABLE 2,BaselineCharacteristic,xx,Age (years) ; ,????x, Patient x   ,5,1,3,No,1:No,2:yes,+,0.55
2269,2551676,TABLE 2,BaselineCharacteristic,xx,Age (years) ; ,????x, Patient x   ,7,1,3,No,1:No,2:yes,+,0.52
2370,2599890,Table 1,BaselineCharacteristic,xx (xx–xx),Mean (range) MAP (mmHg)x ; ,x,None,1,10,3,No,1:No,2:yes,+,0.505
2478,2656521,Table 1,BaselineCharacteristic,xx.x ± x.x,Steatohepatitis (n xx) ; ,BMI (kg\mx),None,2,1,3,No,1:No,2:yes,+,0.56
2478,2656521,Table 1,BaselineCharacteristic,xx.x ± x.x,Focal Fatty Liver (n x) ; ,BMI (kg\mx),None,2,3,3,No,1:No,2:yes,+,0.52
2478,2656521,Table 1,BaselineCharacteristic,xx.x ± xx.x,Steatohepatitis (n xx) ; ,ALT (U\l),None,3,1,3,No,1:No,2:yes,+,0.57
2478,2656521,Table 1,BaselineCharacteristic,xx.x ± xx.x,Focal Fatty Liver (n x) ; ,ALT (U\l),None,3,3,3,No,1:No,2:yes,+,0.56
2478,2656521,Table 1,BaselineCharacteristic,xx.x ± xx.x,Steatohepatitis (n xx) ; ,AST (U\l),None,4,1,3,No,1:No,2:yes,+,0.534
2478,2656521,Table 1,BaselineCharacteristic,xx.x ± x.x,Focal Fatty Liver (n x) ; ,AST (U\l),None,4,3,3,No,1:No,2:yes,+,0.514
2478,2656521,Table 1,BaselineCharacteristic,xx.x ± x.x,Steatohepatitis (n xx) ; ,GGT,None,5,1,3,No,1:No,2:yes,+,0.554
2478,2656521,Table 1,BaselineCharacteristic,xx.x ± x.x,Focal Fatty Liver (n x) ; ,GGT,None,5,3,3,No,1:No,2:yes,+,0.524
2478,2656521,Table 1,BaselineCharacteristic,xxx.x ± xx.x,Steatohepatitis (n xx) ; ,Cholesterol (mg\dl),None,6,1,3,No,1:No,2:yes,+,0.544
2478,2656521,Table 1,BaselineCharacteristic,xxx.x ± xx.x,Focal Fatty Liver (n x) ; ,Cholesterol (mg\dl),None,6,3,3,No,1:No,2:yes,+,0.544
2478,2656521,Table 1,BaselineCharacteristic,xxx.x ± xx.x,Steatohepatitis (n xx) ; ,Triglyceride (mg\dl),None,7,1,3,No,1:No,2:yes,+,0.514
2486,2659603,Table 1,BaselineCharacteristic,xx.xx,FS (%) ; ,x,None,1,3,3,No,1:No,2:yes,+,0.558
2486,2659603,Table 1,BaselineCharacteristic,xx.xx,FS (%) ; ,x,None,2,3,3,No,1:No,2:yes,+,0.508
2486,2659603,Table 1,BaselineCharacteristic,xx.x,FS (%) ; ,x,None,3,3,3,No,1:No,2:yes,+,0.504
2688,2718192,Table 1,BaselineCharacteristic,xx.x (xx.x–xxx.x),x.xxx mg dose ; ,"Weight (mean (range), kg)",,2,1,3,No,1:No,2:yes,+,0.605
2688,2718192,Table 1,BaselineCharacteristic,xx.x (xx.x–xx.x),x.xxxx mg dose ; ,"Weight (mean (range), kg)",,2,2,3,No,1:No,2:yes,+,0.64
2688,2718192,Table 1,BaselineCharacteristic,x.xx (x.xx–x.xx),x.xxx mg dose ; ,"Dose PRAM (mean (range), mg/kg x xxx)",,3,1,3,No,1:No,2:yes,+,0.635
2688,2718192,Table 1,BaselineCharacteristic,x.xx (x.xx–x.xx),x.xxxx mg dose ; ,"Dose PRAM (mean (range), mg/kg x xxx)",,3,2,3,No,1:No,2:yes,+,0.645
2688,2718192,Table 1,BaselineCharacteristic,xx.x (x.x–xxx.x),x.xxxx mg dose ; ,"Daily caffeine intake (mean (range), mg)",,4,2,3,No,1:No,2:yes,+,0.525
2688,2718192,Table 1,BaselineCharacteristic,xx (x–xx),x.xxx mg dose ; ,, Personality scale scores (mean (range)) TPQ,7,1,3,No,1:No,2:yes,+,0.53
2688,2718192,Table 1,BaselineCharacteristic,xx (x–xx),x.xxxx mg dose ; ,, Personality scale scores (mean (range)) TPQ,7,2,3,No,1:No,2:yes,+,0.52
2688,2718192,Table 1,BaselineCharacteristic,xx (xx–xx),x.xxxx mg dose ; ,, Personality scale scores (mean (range)) TPQ,9,2,3,No,1:No,2:yes,+,0.515
2737,2734077,Table 1,BaselineCharacteristic,Healthy Participants (n = xx; xx men),,,None,0,1,1,No,1:No,2:yes,+,0.611
2737,2734077,Table 1,BaselineCharacteristic,Healthy Participants (n = xx; xx men),Healthy Participants (n = xx; xx men) ; ,,None,1,1,1,No,1:No,2:yes,+,0.618
2737,2734077,Table 1,BaselineCharacteristic,"CBT+TAU Group (n = xx, xx men)",Patients ; ,,None,1,2,1,No,1:No,2:yes,+,0.598
2737,2734077,Table 1,BaselineCharacteristic,"TAU-Alone Group (n = xx, xx men)",Patients ; ,,None,1,3,1,No,1:No,2:yes,+,0.568
2737,2734077,Table 1,BaselineCharacteristic,Mean (SD),Healthy Participants (n = xx; xx men) ; Healthy Participants (n = xx; xx men) ; ,Demographics,,2,1,3,No,1:No,2:yes,+,0.684
2737,2734077,Table 1,BaselineCharacteristic,Mean (SD),"Patients ; CBT+TAU Group (n = xx, xx men) ; ",Demographics,,2,2,3,No,1:No,2:yes,+,0.619
2737,2734077,Table 1,BaselineCharacteristic,Mean (SD),"Patients ; TAU-Alone Group (n = xx, xx men) ; ",Demographics,,2,3,3,No,1:No,2:yes,+,0.634
2737,2734077,Table 1,BaselineCharacteristic,xx.xx (x.xx),Healthy Participants (n = xx; xx men) ; Healthy Participants (n = xx; xx men) ; ,Education (Years),,4,1,3,No,1:No,2:yes,+,0.579
2737,2734077,Table 1,BaselineCharacteristic,?xxx.xx (x.xx),Healthy Participants (n = xx; xx men) ; Healthy Participants (n = xx; xx men) ; ,Predicted IQa,,5,1,3,No,1:No,2:yes,+,0.649
2737,2734077,Table 1,BaselineCharacteristic,xxx.xx (x.xx),"Patients ; CBT+TAU Group (n = xx, xx men) ; ",Predicted IQa,,5,2,3,No,1:No,2:yes,+,0.563
2737,2734077,Table 1,BaselineCharacteristic,xxx.xx (x.xx),"Patients ; TAU-Alone Group (n = xx, xx men) ; ",Predicted IQa,,5,3,3,No,1:No,2:yes,+,0.559
2737,2734077,Table 1,BaselineCharacteristic,xx.xx (x.xx),Healthy Participants (n = xx; xx men) ; Healthy Participants (n = xx; xx men) ; ,, Accuracy (%; Chance Performance = xx%),8,1,3,No,1:No,2:yes,+,0.534
2737,2734077,Table 1,BaselineCharacteristic,xx.xx (x.xx),Healthy Participants (n = xx; xx men) ; Healthy Participants (n = xx; xx men) ; ,, Accuracy (%; Chance Performance = xx%),9,1,3,No,1:No,2:yes,+,0.514
2737,2734077,Table 1,BaselineCharacteristic,xx.xx (x.xx),Patients Only ; TAU-alone Group Mean (SD) ; Baseline ; ,Age at Illness Onset (Years),None,3,4,3,No,1:No,2:yes,+,0.504
2811,2758901,Table 1,BaselineCharacteristic,,Gefitinib ; % ;  ;  ;  ; ,?Avg. age, ,13,2,,No,1:No,2:yes,+,0.5
2834,2765955,Table 1,BaselineCharacteristic,(n = xx),Males ; ,None,None,1,1,,No,1:No,2:yes,+,0.626
2834,2765955,Table 1,BaselineCharacteristic,(n = xx),Females ; ,None,None,1,2,,No,1:No,2:yes,+,0.631
2834,2765955,Table 1,BaselineCharacteristic,,Males ; (n = xx) ; xx.x (xx.x) ; ,None,None,3,1,,No,1:No,2:yes,+,0.661
2834,2765955,Table 1,BaselineCharacteristic,,Females ; (n = xx) ; xx.x (x.x) ; ,None,None,3,2,,No,1:No,2:yes,+,0.655
2834,2765955,Table 1,BaselineCharacteristic,x.xx (x.x),Males ; (n = xx) ; xx.x (xx.x) ;  ; ,None,None,4,1,,No,1:No,2:yes,+,0.599
2834,2765955,Table 1,BaselineCharacteristic,x.xx (x.x),Females ; (n = xx) ; xx.x (x.x) ;  ; ,None,None,4,2,,No,1:No,2:yes,+,0.598
2834,2765955,Table 1,BaselineCharacteristic,,Males ; (n = xx) ; xx.x (xx.x) ;  ; x.xx (x.x) ; ,None,None,5,1,,No,1:No,2:yes,+,0.598
2834,2765955,Table 1,BaselineCharacteristic,,Females ; (n = xx) ; xx.x (x.x) ;  ; x.xx (x.x) ; ,None,None,5,2,,No,1:No,2:yes,+,0.607
2834,2765955,Table 1,BaselineCharacteristic,xx.x (xx.x),Males ; (n = xx) ; xx.x (xx.x) ;  ; x.xx (x.x) ;  ; ,None,None,6,1,,No,1:No,2:yes,+,0.577
2834,2765955,Table 1,BaselineCharacteristic,xx.x (xx.x),Females ; (n = xx) ; xx.x (x.x) ;  ; x.xx (x.x) ;  ; ,None,None,6,2,,No,1:No,2:yes,+,0.587
2834,2765955,Table 1,BaselineCharacteristic,,Males ; (n = xx) ; xx.x (xx.x) ;  ; x.xx (x.x) ;  ; xx.x (xx.x) ; ,None,None,7,1,,No,1:No,2:yes,+,0.558
2834,2765955,Table 1,BaselineCharacteristic,,Females ; (n = xx) ; xx.x (x.x) ;  ; x.xx (x.x) ;  ; xx.x (xx.x) ; ,None,None,7,2,,No,1:No,2:yes,+,0.568
2834,2765955,Table 1,BaselineCharacteristic,xx.x (x.x),Males ; (n = xx) ; xx.x (xx.x) ;  ; x.xx (x.x) ;  ; xx.x (xx.x) ;  ; ,None,None,8,1,,No,1:No,2:yes,+,0.534
2834,2765955,Table 1,BaselineCharacteristic,xx.x (x.x),Females ; (n = xx) ; xx.x (x.x) ;  ; x.xx (x.x) ;  ; xx.x (xx.x) ;  ; ,None,None,8,2,,No,1:No,2:yes,+,0.545
2834,2765955,Table 1,BaselineCharacteristic,,Males ; (n = xx) ; xx.x (xx.x) ;  ; x.xx (x.x) ;  ; xx.x (xx.x) ;  ; xx.x (x.x) ; ,None,None,9,1,,No,1:No,2:yes,+,0.514
2834,2765955,Table 1,BaselineCharacteristic,,Females ; (n = xx) ; xx.x (x.x) ;  ; x.xx (x.x) ;  ; xx.x (xx.x) ;  ; xx.x (x.x) ; ,None,None,9,2,,No,1:No,2:yes,+,0.522
2864,2774660,Table 1,BaselineCharacteristic,xx,Phase x - placebo ; ,Total Participants,None,1,3,3,No,1:No,2:yes,+,0.604
2864,2774660,Table 1,BaselineCharacteristic,xx,Phase x - placebo ; ,Male,None,2,3,3,No,1:No,2:yes,+,0.574
3023,2816665,Table 1,BaselineCharacteristic,xx,Subgroup A ; ,Patient number,None,1,2,3,No,1:No,2:yes,+,0.544
3023,2816665,Table 1,BaselineCharacteristic,xx,Subgroup B ; ,Patient number,None,1,3,3,No,1:No,2:yes,+,0.534
3023,2816665,Table 1,BaselineCharacteristic,xx,Subgroup C ; ,Patient number,None,1,4,3,No,1:No,2:yes,+,0.534
3023,2816665,Table 1,BaselineCharacteristic,xx (xx),All patients ; ,Male (%),None,3,1,3,No,1:No,2:yes,+,0.54
3023,2816665,Table 1,BaselineCharacteristic,xx (xx),Subgroup A ; ,Male (%),None,3,2,3,No,1:No,2:yes,+,0.539
3023,2816665,Table 1,BaselineCharacteristic,xx (xx),Subgroup B ; ,Male (%),None,3,3,3,No,1:No,2:yes,+,0.529
3023,2816665,Table 1,BaselineCharacteristic,xx (x),All patients ; ,PS x (%),None,4,1,3,No,1:No,2:yes,+,0.53
3044,2822223,Table 1,BaselineCharacteristic,xx,Healthy donors ; Age (years) ; ,x,None,2,1,3,No,1:No,2:yes,+,0.59
3044,2822223,Table 1,BaselineCharacteristic,xx,Patients ; Age (years) ; ,x,None,2,3,3,No,1:No,2:yes,+,0.56
3044,2822223,Table 1,BaselineCharacteristic,xx,Healthy donors ; Age (years) ; ,x,None,3,1,3,No,1:No,2:yes,+,0.58
3044,2822223,Table 1,BaselineCharacteristic,xx,Patients ; Age (years) ; ,x,None,3,3,3,No,1:No,2:yes,+,0.55
3044,2822223,Table 1,BaselineCharacteristic,xx,Healthy donors ; Age (years) ; ,x,None,4,1,3,No,1:No,2:yes,+,0.55
3044,2822223,Table 1,BaselineCharacteristic,xx,Patients ; Age (years) ; ,x,None,4,3,3,No,1:No,2:yes,+,0.51
3044,2822223,Table 1,BaselineCharacteristic,xx,Healthy donors ; Age (years) ; ,x,None,5,1,3,No,1:No,2:yes,+,0.55
3044,2822223,Table 1,BaselineCharacteristic,xx,Patients ; Age (years) ; ,x,None,5,3,3,No,1:No,2:yes,+,0.51
3044,2822223,Table 1,BaselineCharacteristic,xx,Healthy donors ; Age (years) ; ,x,None,6,1,3,No,1:No,2:yes,+,0.54
3044,2822223,Table 1,BaselineCharacteristic,xx,Healthy donors ; Age (years) ; ,x,None,7,1,3,No,1:No,2:yes,+,0.52
3085,2828459,Table 1,BaselineCharacteristic,xx.x (x.x),mean (SD) ; ,Gestational age (weeks),None,1,1,3,No,1:No,2:yes,+,0.88
3085,2828459,Table 1,BaselineCharacteristic,xx.x (x.x),mean (SD) ; ,Length (cm),None,3,1,3,No,1:No,2:yes,+,0.68
3085,2828459,Table 1,BaselineCharacteristic,xx.x (x.x),mean (SD) ; ,Head circumference (cm),None,4,1,3,No,1:No,2:yes,+,0.6
3097,2835652,Table 1,BaselineCharacteristic,xx,xx ?g ; xx ; ,"Male, no (%)",,2,3,3,No,1:No,2:yes,+,0.504
3097,2835652,Table 1,BaselineCharacteristic,"Median age (range), years","HSPPC-xx Dose Level ; Enrolled, no. ; ","Median age (range), years",,3,0,2,No,1:No,2:yes,+,0.565
3105,2837631,Table 1,BaselineCharacteristic,median (range) xx (x-xx),,Tumor diameter (mm),,18,1,3,No,1:No,2:yes,+,0.7
3105,2837631,Table 1,BaselineCharacteristic,median (range) xx(xx-xx),,Follow-up (months),,43,1,3,No,1:No,2:yes,+,0.68
3162,2855860,Table 1,BaselineCharacteristic,xxx (xx),Sunitinib (N = xxx) ; ,," ECOG PS, n (%)a",5,1,3,No,1:No,2:yes,+,0.564
3162,2855860,Table 1,BaselineCharacteristic,xxx (xx),Capecitabine (N = xxx) ; ,," ECOG PS, n (%)a",5,2,3,No,1:No,2:yes,+,0.539
3275,2894785,Table 1,BaselineCharacteristic,"Age, mean ± SD (years)",Characteristics ; ,"Age, mean ± SD (years)",,1,0,,No,1:No,2:yes,+,0.532
3275,2894785,Table 1,BaselineCharacteristic,?Min,Characteristics ; ,?Min," Age, mean ± SD (years)",2,0,,No,1:No,2:yes,+,0.532
3275,2894785,Table 1,BaselineCharacteristic,xx,Intervention Groupn = xx ; ,?Min," Age, mean ± SD (years)",2,1,,No,1:No,2:yes,+,0.797
3275,2894785,Table 1,BaselineCharacteristic,xx,ControlGroupn = xxx ; ,?Min," Age, mean ± SD (years)",2,2,,No,1:No,2:yes,+,0.847
3275,2894785,Table 1,BaselineCharacteristic,?Max,Characteristics ; ,?Max," Age, mean ± SD (years)",3,0,,No,1:No,2:yes,+,0.522
3275,2894785,Table 1,BaselineCharacteristic,xx,Intervention Groupn = xx ; ,?Max," Age, mean ± SD (years)",3,1,,No,1:No,2:yes,+,0.798
3275,2894785,Table 1,BaselineCharacteristic,xx,ControlGroupn = xxx ; ,?Max," Age, mean ± SD (years)",3,2,,No,1:No,2:yes,+,0.847
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),Intervention Groupn = xx ; ,?female," Age, mean ± SD (years)",6,1,,No,1:No,2:yes,+,0.712
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),ControlGroupn = xxx ; ,?female," Age, mean ± SD (years)",6,2,,No,1:No,2:yes,+,0.759
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),Intervention Groupn = xx ; ,?male," Age, mean ± SD (years)",7,1,,No,1:No,2:yes,+,0.702
3275,2894785,Table 1,BaselineCharacteristic,xxx (xx.x%),ControlGroupn = xxx ; ,?male," Age, mean ± SD (years)",7,2,,No,1:No,2:yes,+,0.739
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),Intervention Groupn = xx ; ,?TIA," Age, mean ± SD (years)",10,1,,No,1:No,2:yes,+,0.599
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),ControlGroupn = xxx ; ,?TIA," Age, mean ± SD (years)",10,2,,No,1:No,2:yes,+,0.667
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),Intervention Groupn = xx ; ,?Ischemic stroke," Age, mean ± SD (years)",11,1,,No,1:No,2:yes,+,0.589
3275,2894785,Table 1,BaselineCharacteristic,xxx (xx.x%),ControlGroupn = xxx ; ,?Ischemic stroke," Age, mean ± SD (years)",11,2,,No,1:No,2:yes,+,0.667
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),Intervention Groupn = xx ; ,?hypertension," Age, mean ± SD (years)",16,1,,No,1:No,2:yes,+,0.599
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),ControlGroupn = xxx ; ,?hypertension," Age, mean ± SD (years)",16,2,,No,1:No,2:yes,+,0.677
3275,2894785,Table 1,BaselineCharacteristic,x (x.x%),Intervention Groupn = xx ; ,?hyperlipidemia," Age, mean ± SD (years)",17,1,,No,1:No,2:yes,+,0.6
3275,2894785,Table 1,BaselineCharacteristic,x (x.x%),ControlGroupn = xxx ; ,?hyperlipidemia," Age, mean ± SD (years)",17,2,,No,1:No,2:yes,+,0.591
3275,2894785,Table 1,BaselineCharacteristic,x (x.x%),Intervention Groupn = xx ; ,?diabetes mellitus," Age, mean ± SD (years)",18,1,,No,1:No,2:yes,+,0.601
3275,2894785,Table 1,BaselineCharacteristic,x (x.x%),ControlGroupn = xxx ; ,?diabetes mellitus," Age, mean ± SD (years)",18,2,,No,1:No,2:yes,+,0.582
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),Intervention Groupn = xx ; ,?hypertension+hyperlipidemia," Age, mean ± SD (years)",19,1,,No,1:No,2:yes,+,0.599
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),ControlGroupn = xxx ; ,?hypertension+hyperlipidemia," Age, mean ± SD (years)",19,2,,No,1:No,2:yes,+,0.677
3275,2894785,Table 1,BaselineCharacteristic,x (x.x%),Intervention Groupn = xx ; ,?hypertension+diabetes mellitus," Age, mean ± SD (years)",20,1,,No,1:No,2:yes,+,0.601
3275,2894785,Table 1,BaselineCharacteristic,xx (xx.x%),ControlGroupn = xxx ; ,?hypertension+diabetes mellitus," Age, mean ± SD (years)",20,2,,No,1:No,2:yes,+,0.677
3275,2894785,Table 1,BaselineCharacteristic,--,Intervention Groupn = xx ; ,?diabetes mellitus+hyperlipidemia," Age, mean ± SD (years)",21,1,,No,1:No,2:yes,+,0.64
3275,2894785,Table 1,BaselineCharacteristic,x (x.x%),ControlGroupn = xxx ; ,?diabetes mellitus+hyperlipidemia," Age, mean ± SD (years)",21,2,,No,1:No,2:yes,+,0.591
3275,2894785,Table 1,BaselineCharacteristic,x (x.x%),Intervention Groupn = xx ; ,?mellitus+hyperlipidemia," Age, mean ± SD (years)",23,1,,No,1:No,2:yes,+,0.6
3275,2894785,Table 1,BaselineCharacteristic,xx (x.x%),ControlGroupn = xxx ; ,?mellitus+hyperlipidemia," Age, mean ± SD (years)",23,2,,No,1:No,2:yes,+,0.699
3275,2894785,Table 1,BaselineCharacteristic,x (x.x%),Intervention Groupn = xx ; ,?None," Age, mean ± SD (years)",24,1,,No,1:No,2:yes,+,0.6
3275,2894785,Table 1,BaselineCharacteristic,xx (x.x%),ControlGroupn = xxx ; ,?None," Age, mean ± SD (years)",24,2,,No,1:No,2:yes,+,0.699
3276,2894820,Table 4,BaselineCharacteristic,x.xx,Control(mean) ; ,,,2,2,3,No,1:No,2:yes,+,0.58
3276,2894820,Table 4,BaselineCharacteristic,x.xx,Intervention(mean) ; ,,,2,3,3,No,1:No,2:yes,+,0.71
3276,2894820,Table 4,BaselineCharacteristic,x.xx,Control(mean) ; ,,,3,2,3,No,1:No,2:yes,+,0.56
