inst#,actual,predicted,error,prediction
73,1:no,2:yes,+,0.553
74,1:no,1:no,,0.531
75,1:no,2:yes,+,0.677
76,1:no,2:yes,+,0.575
77,2:yes,2:yes,,0.797
78,1:no,1:no,,0.501
79,2:yes,2:yes,,0.787
80,1:no,1:no,,0.721
81,1:no,1:no,,0.515
82,1:no,1:no,,0.717
83,1:no,2:yes,+,0.539
84,1:no,1:no,,0.733
85,1:no,2:yes,+,0.5
86,1:no,1:no,,0.79
87,1:no,1:no,,0.682
88,1:no,1:no,,0.851
89,1:no,1:no,,0.706
90,1:no,1:no,,0.727
91,1:no,1:no,,0.646
92,1:no,1:no,,0.728
93,1:no,1:no,,0.647
94,1:no,1:no,,0.779
95,1:no,1:no,,0.63
96,1:no,1:no,,0.804
97,1:no,1:no,,0.676
98,1:no,1:no,,0.808
99,1:no,1:no,,0.698
100,1:no,1:no,,0.806
101,1:no,1:no,,0.711
102,1:no,1:no,,0.71
103,1:no,1:no,,0.712
104,1:no,1:no,,0.791
105,2:yes,1:no,+,0.544
106,2:yes,1:no,+,0.545
107,2:yes,1:no,+,0.563
108,1:no,1:no,,0.846
109,1:no,1:no,,0.738
110,1:no,2:yes,+,0.678
111,1:no,2:yes,+,0.654
112,1:no,2:yes,+,0.645
113,1:no,1:no,,0.837
114,1:no,1:no,,0.833
115,1:no,1:no,,0.647
116,1:no,1:no,,0.658
117,1:no,1:no,,0.679
118,1:no,1:no,,0.849
119,1:no,1:no,,0.78
120,1:no,2:yes,+,0.533
121,1:no,2:yes,+,0.52
122,1:no,1:no,,0.5
123,1:no,1:no,,0.897
124,1:no,1:no,,0.855
125,1:no,1:no,,0.847
126,1:no,1:no,,0.85
127,1:no,1:no,,0.85
128,1:no,1:no,,0.793
129,1:no,1:no,,0.76
130,1:no,1:no,,0.757
131,1:no,1:no,,0.773
132,1:no,2:yes,+,0.535
133,1:no,1:no,,0.631
134,1:no,1:no,,0.833
135,1:no,2:yes,+,0.531
136,1:no,1:no,,0.672
137,1:no,1:no,,0.83
138,1:no,2:yes,+,0.541
139,1:no,1:no,,0.668
140,1:no,1:no,,0.858
141,1:no,1:no,,0.723
142,1:no,1:no,,0.701
143,1:no,1:no,,0.853
144,1:no,1:no,,0.794
145,1:no,1:no,,0.785
146,1:no,1:no,,0.839
147,1:no,1:no,,0.759
148,1:no,1:no,,0.869
149,1:no,1:no,,0.794
150,1:no,1:no,,0.711
151,1:no,1:no,,0.746
152,1:no,1:no,,0.701
153,1:no,1:no,,0.65
154,1:no,1:no,,0.807
155,2:yes,1:no,+,0.597
156,2:yes,1:no,+,0.629
157,1:no,1:no,,0.888
158,1:no,1:no,,0.825
159,1:no,1:no,,0.749
160,1:no,1:no,,0.894
161,1:no,1:no,,0.87
162,1:no,1:no,,0.806
163,1:no,1:no,,0.866
164,1:no,1:no,,0.774
165,1:no,1:no,,0.66
166,1:no,1:no,,0.866
167,1:no,1:no,,0.72
168,1:no,1:no,,0.649
169,1:no,1:no,,0.854
170,1:no,1:no,,0.772
171,1:no,1:no,,0.729
172,1:no,1:no,,0.892
173,1:no,1:no,,0.849
174,1:no,1:no,,0.749
175,1:no,1:no,,0.883
176,1:no,1:no,,0.875
177,1:no,1:no,,0.803
178,1:no,1:no,,0.874
179,1:no,1:no,,0.774
180,1:no,1:no,,0.673
181,1:no,1:no,,0.878
182,1:no,1:no,,0.777
183,1:no,1:no,,0.69
184,1:no,1:no,,0.878
185,1:no,1:no,,0.731
186,1:no,1:no,,0.69
187,1:no,1:no,,0.902
188,1:no,1:no,,0.862
189,1:no,1:no,,0.777
190,1:no,1:no,,0.885
191,1:no,1:no,,0.876
192,1:no,1:no,,0.793
193,1:no,1:no,,0.9
194,1:no,1:no,,0.745
195,1:no,1:no,,0.72
196,1:no,1:no,,0.904
197,1:no,1:no,,0.783
198,1:no,1:no,,0.742
199,1:no,1:no,,0.904
200,1:no,1:no,,0.783
201,1:no,1:no,,0.769
202,1:no,1:no,,0.896
203,1:no,1:no,,0.757
204,1:no,1:no,,0.774
205,1:no,1:no,,0.898
206,1:no,1:no,,0.773
207,1:no,1:no,,0.711
208,1:no,1:no,,0.893
209,1:no,1:no,,0.8
210,1:no,1:no,,0.742
211,1:no,1:no,,0.901
212,1:no,1:no,,0.869
213,1:no,1:no,,0.766
214,1:no,1:no,,0.905
215,1:no,1:no,,0.865
216,1:no,1:no,,0.792
217,1:no,1:no,,0.788
218,1:no,1:no,,0.769
219,1:no,1:no,,0.718
220,1:no,1:no,,0.793
221,1:no,1:no,,0.7
222,1:no,1:no,,0.635
223,1:no,1:no,,0.793
224,1:no,1:no,,0.7
225,1:no,1:no,,0.695
226,1:no,1:no,,0.793
227,1:no,1:no,,0.7
228,1:no,1:no,,0.635
229,1:no,1:no,,0.793
230,1:no,1:no,,0.7
231,1:no,1:no,,0.695
232,1:no,1:no,,0.796
233,1:no,1:no,,0.71
234,1:no,1:no,,0.699
235,1:no,1:no,,0.79
236,1:no,1:no,,0.693
237,1:no,1:no,,0.631
238,1:no,1:no,,0.793
239,1:no,1:no,,0.735
240,1:no,1:no,,0.775
241,1:no,1:no,,0.79
242,1:no,1:no,,0.802
243,1:no,1:no,,0.795
244,1:no,1:no,,0.792
245,1:no,1:no,,0.716
246,1:no,1:no,,0.756
247,1:no,1:no,,0.77
248,1:no,1:no,,0.782
249,1:no,1:no,,0.776
250,1:no,1:no,,0.791
251,1:no,1:no,,0.65
252,1:no,1:no,,0.73
253,1:no,1:no,,0.668
254,1:no,1:no,,0.736
255,1:no,1:no,,0.788
256,1:no,1:no,,0.823
257,1:no,1:no,,0.729
258,1:no,1:no,,0.777
259,1:no,1:no,,0.753
260,1:no,1:no,,0.789
261,1:no,1:no,,0.848
262,1:no,1:no,,0.83
263,1:no,1:no,,0.641
264,1:no,1:no,,0.598
265,1:no,1:no,,0.659
266,1:no,1:no,,0.612
267,1:no,1:no,,0.72
268,1:no,1:no,,0.817
269,1:no,1:no,,0.788
270,1:no,1:no,,0.843
271,1:no,1:no,,0.669
272,1:no,1:no,,0.711
273,1:no,1:no,,0.701
274,1:no,1:no,,0.732
275,1:no,1:no,,0.82
276,1:no,1:no,,0.58
277,1:no,2:yes,+,0.521
278,1:no,1:no,,0.541
279,1:no,1:no,,0.513
280,1:no,1:no,,0.562
281,1:no,1:no,,0.618
282,1:no,1:no,,0.515
283,2:yes,2:yes,,0.79
284,2:yes,2:yes,,0.818
285,2:yes,2:yes,,0.771
286,2:yes,2:yes,,0.801
287,1:no,2:yes,+,0.642
288,1:no,2:yes,+,0.507
289,2:yes,2:yes,,0.722
290,2:yes,2:yes,,0.764
291,2:yes,2:yes,,0.706
292,2:yes,2:yes,,0.757
293,1:no,2:yes,+,0.546
294,1:no,1:no,,0.862
295,1:no,1:no,,0.738
296,1:no,1:no,,0.749
297,1:no,1:no,,0.757
298,1:no,1:no,,0.768
299,1:no,1:no,,0.852
300,1:no,1:no,,0.87
301,1:no,1:no,,0.777
302,1:no,1:no,,0.806
303,1:no,1:no,,0.795
304,1:no,1:no,,0.821
305,1:no,1:no,,0.881
306,1:no,1:no,,0.867
307,1:no,1:no,,0.649
308,1:no,1:no,,0.66
309,1:no,1:no,,0.673
310,1:no,1:no,,0.669
311,1:no,1:no,,0.818
312,1:no,1:no,,0.837
313,1:no,1:no,,0.678
314,1:no,1:no,,0.649
315,1:no,1:no,,0.705
316,1:no,1:no,,0.671
317,1:no,1:no,,0.855
318,1:no,1:no,,0.866
319,1:no,1:no,,0.745
320,1:no,1:no,,0.758
321,1:no,1:no,,0.759
322,1:no,1:no,,0.772
323,1:no,1:no,,0.854
324,1:no,1:no,,0.844
325,1:no,1:no,,0.765
326,1:no,1:no,,0.814
327,1:no,1:no,,0.767
328,1:no,1:no,,0.821
329,1:no,1:no,,0.874
330,1:no,1:no,,0.853
331,1:no,1:no,,0.722
332,1:no,1:no,,0.713
333,1:no,1:no,,0.728
334,1:no,1:no,,0.715
335,1:no,1:no,,0.822
336,1:no,1:no,,0.873
337,1:no,1:no,,0.783
338,1:no,1:no,,0.753
339,1:no,1:no,,0.783
340,1:no,1:no,,0.753
341,1:no,1:no,,0.887
342,1:no,1:no,,0.875
343,1:no,1:no,,0.769
344,1:no,1:no,,0.777
345,1:no,1:no,,0.775
346,1:no,1:no,,0.785
347,1:no,1:no,,0.865
348,1:no,1:no,,0.867
349,1:no,1:no,,0.785
350,1:no,1:no,,0.801
351,1:no,1:no,,0.794
352,1:no,1:no,,0.812
353,1:no,1:no,,0.882
354,1:no,1:no,,0.885
355,1:no,1:no,,0.746
356,1:no,1:no,,0.717
357,1:no,1:no,,0.763
358,1:no,1:no,,0.723
359,1:no,1:no,,0.848
360,1:no,1:no,,0.871
361,1:no,1:no,,0.697
362,1:no,1:no,,0.667
363,1:no,1:no,,0.703
364,1:no,1:no,,0.675
365,1:no,1:no,,0.876
366,1:no,1:no,,0.885
367,1:no,1:no,,0.747
368,1:no,1:no,,0.811
369,1:no,1:no,,0.763
370,1:no,1:no,,0.817
371,1:no,1:no,,0.894
372,1:no,1:no,,0.876
373,1:no,1:no,,0.733
374,1:no,1:no,,0.68
375,1:no,1:no,,0.749
376,1:no,1:no,,0.688
377,1:no,1:no,,0.883
378,1:no,1:no,,0.77
379,1:no,1:no,,0.709
380,1:no,1:no,,0.812
381,1:no,1:no,,0.662
382,1:no,1:no,,0.563
383,2:yes,2:yes,,0.693
384,1:no,1:no,,0.816
385,1:no,1:no,,0.711
386,1:no,1:no,,0.725
387,1:no,1:no,,0.66
388,1:no,1:no,,0.746
389,1:no,2:yes,+,0.513
390,1:no,1:no,,0.698
391,1:no,1:no,,0.513
392,1:no,1:no,,0.698
393,1:no,1:no,,0.513
394,1:no,1:no,,0.849
395,1:no,1:no,,0.774
396,1:no,1:no,,0.77
397,1:no,1:no,,0.719
398,1:no,1:no,,0.758
399,1:no,1:no,,0.531
400,1:no,1:no,,0.758
401,1:no,1:no,,0.546
402,1:no,1:no,,0.758
403,1:no,1:no,,0.553
404,1:no,1:no,,0.869
405,1:no,1:no,,0.813
406,1:no,1:no,,0.791
407,1:no,1:no,,0.732
408,1:no,1:no,,0.745
409,1:no,1:no,,0.541
410,1:no,1:no,,0.869
411,1:no,1:no,,0.808
412,1:no,1:no,,0.815
413,1:no,1:no,,0.75
414,1:no,1:no,,0.755
415,1:no,1:no,,0.621
416,1:no,1:no,,0.879
417,1:no,1:no,,0.832
418,1:no,1:no,,0.792
419,1:no,1:no,,0.741
420,1:no,1:no,,0.783
421,1:no,1:no,,0.596
422,1:no,1:no,,0.785
423,1:no,1:no,,0.599
424,1:no,1:no,,0.881
425,1:no,1:no,,0.838
426,1:no,1:no,,0.822
427,1:no,1:no,,0.803
428,1:no,1:no,,0.827
429,1:no,1:no,,0.7
430,1:no,1:no,,0.826
431,1:no,1:no,,0.684
432,1:no,1:no,,0.825
433,1:no,1:no,,0.683
434,1:no,1:no,,0.827
435,1:no,1:no,,0.728
436,1:no,1:no,,0.854
437,1:no,1:no,,0.759
438,1:no,1:no,,0.881
439,1:no,1:no,,0.838
440,1:no,1:no,,0.867
441,1:no,1:no,,0.812
442,1:no,1:no,,0.872
443,1:no,1:no,,0.719
444,1:no,1:no,,0.872
445,1:no,1:no,,0.713
446,1:no,1:no,,0.872
447,1:no,1:no,,0.77
448,1:no,1:no,,0.806
449,1:no,1:no,,0.72
450,1:no,1:no,,0.776
451,1:no,1:no,,0.834
452,1:no,1:no,,0.501
453,1:no,1:no,,0.642
454,1:no,1:no,,0.852
455,1:no,1:no,,0.646
456,1:no,1:no,,0.686
457,1:no,1:no,,0.845
458,1:no,1:no,,0.729
459,1:no,1:no,,0.777
460,1:no,1:no,,0.85
461,1:no,1:no,,0.641
462,1:no,1:no,,0.731
463,1:no,1:no,,0.836
464,1:no,1:no,,0.734
465,1:no,1:no,,0.876
466,1:no,1:no,,0.669
467,1:no,1:no,,0.711
468,1:no,1:no,,0.813
469,1:no,2:yes,+,0.516
470,1:no,1:no,,0.547
471,1:no,1:no,,0.883
472,1:no,1:no,,0.704
473,1:no,1:no,,0.726
474,1:no,1:no,,0.855
475,1:no,1:no,,0.714
476,1:no,1:no,,0.737
477,1:no,1:no,,0.856
478,1:no,1:no,,0.619
479,1:no,1:no,,0.57
480,1:no,1:no,,0.857
481,1:no,1:no,,0.655
482,1:no,1:no,,0.694
483,1:no,1:no,,0.902
484,1:no,1:no,,0.751
485,1:no,1:no,,0.76
486,1:no,1:no,,0.894
487,1:no,1:no,,0.69
488,1:no,1:no,,0.625
489,1:no,1:no,,0.902
490,1:no,1:no,,0.745
491,1:no,1:no,,0.758
492,1:no,1:no,,0.866
493,1:no,1:no,,0.715
494,1:no,1:no,,0.651
495,1:no,1:no,,0.899
496,1:no,1:no,,0.692
497,1:no,1:no,,0.717
498,1:no,1:no,,0.911
499,1:no,1:no,,0.747
500,1:no,1:no,,0.693
501,1:no,1:no,,0.914
502,1:no,1:no,,0.755
503,1:no,1:no,,0.708
504,1:no,1:no,,0.911
505,1:no,1:no,,0.769
506,1:no,1:no,,0.777
507,1:no,1:no,,0.902
508,1:no,1:no,,0.791
509,1:no,1:no,,0.811
510,1:no,1:no,,0.91
511,1:no,1:no,,0.723
512,1:no,1:no,,0.678
513,1:no,1:no,,0.912
514,1:no,1:no,,0.729
515,1:no,1:no,,0.686
516,1:no,1:no,,0.912
517,1:no,1:no,,0.738
518,1:no,1:no,,0.692
519,1:no,1:no,,0.913
520,1:no,1:no,,0.778
521,1:no,1:no,,0.79
522,1:no,1:no,,0.883
523,1:no,1:no,,0.751
524,1:no,1:no,,0.742
525,1:no,1:no,,0.899
526,1:no,1:no,,0.749
527,1:no,1:no,,0.736
528,1:no,1:no,,0.899
529,1:no,1:no,,0.749
530,1:no,1:no,,0.736
531,1:no,1:no,,0.91
532,1:no,1:no,,0.771
533,1:no,1:no,,0.754
534,1:no,1:no,,0.899
535,1:no,1:no,,0.749
536,1:no,1:no,,0.736
537,1:no,1:no,,0.902
538,1:no,1:no,,0.749
539,1:no,1:no,,0.736
540,1:no,1:no,,0.913
541,1:no,1:no,,0.778
542,1:no,1:no,,0.792
543,1:no,1:no,,0.916
544,1:no,1:no,,0.815
545,1:no,1:no,,0.838
546,1:no,1:no,,0.927
547,1:no,1:no,,0.766
548,1:no,1:no,,0.829
549,1:no,1:no,,0.926
550,1:no,1:no,,0.832
551,1:no,1:no,,0.806
552,1:no,1:no,,0.72
553,1:no,1:no,,0.776
554,1:no,1:no,,0.597
555,1:no,2:yes,+,0.544
556,1:no,1:no,,0.529
557,1:no,1:no,,0.526
558,2:yes,2:yes,,0.808
559,2:yes,2:yes,,0.828
560,1:no,1:no,,0.549
561,2:yes,2:yes,,0.797
562,2:yes,2:yes,,0.845
563,1:no,1:no,,0.869
564,1:no,1:no,,0.668
565,1:no,1:no,,0.701
566,1:no,1:no,,0.877
567,1:no,1:no,,0.713
568,1:no,1:no,,0.767
569,1:no,1:no,,0.847
570,1:no,1:no,,0.611
571,1:no,1:no,,0.555
572,1:no,1:no,,0.854
573,1:no,1:no,,0.609
574,1:no,1:no,,0.562
575,1:no,1:no,,0.857
576,1:no,1:no,,0.632
577,1:no,1:no,,0.592
578,1:no,1:no,,0.891
579,1:no,1:no,,0.717
580,1:no,1:no,,0.742
581,1:no,1:no,,0.902
582,1:no,1:no,,0.751
583,1:no,1:no,,0.76
584,1:no,1:no,,0.885
585,1:no,1:no,,0.619
586,1:no,1:no,,0.582
587,1:no,1:no,,0.902
588,1:no,1:no,,0.739
589,1:no,1:no,,0.749
590,1:no,1:no,,0.883
591,1:no,1:no,,0.746
592,1:no,1:no,,0.771
593,1:no,1:no,,0.903
594,1:no,1:no,,0.663
595,1:no,1:no,,0.639
596,1:no,1:no,,0.906
597,1:no,1:no,,0.678
598,1:no,1:no,,0.651
599,1:no,1:no,,0.906
600,1:no,1:no,,0.714
601,1:no,1:no,,0.743
602,1:no,1:no,,0.907
603,1:no,1:no,,0.73
604,1:no,1:no,,0.761
605,1:no,1:no,,0.91
606,1:no,1:no,,0.732
607,1:no,1:no,,0.747
608,1:no,1:no,,0.913
609,1:no,1:no,,0.776
610,1:no,1:no,,0.787
611,1:no,1:no,,0.909
612,1:no,1:no,,0.807
613,1:no,1:no,,0.842
614,1:no,1:no,,0.902
615,1:no,1:no,,0.746
616,1:no,1:no,,0.741
617,1:no,1:no,,0.882
618,1:no,1:no,,0.713
619,1:no,1:no,,0.708
620,1:no,1:no,,0.879
621,1:no,1:no,,0.684
622,1:no,1:no,,0.68
623,1:no,1:no,,0.879
624,1:no,1:no,,0.71
625,1:no,1:no,,0.68
626,1:no,1:no,,0.908
627,1:no,1:no,,0.775
628,1:no,1:no,,0.811
629,1:no,1:no,,0.873
630,1:no,1:no,,0.701
631,1:no,1:no,,0.687
632,1:no,1:no,,0.901
633,1:no,1:no,,0.748
634,1:no,1:no,,0.711
635,1:no,1:no,,0.901
636,1:no,1:no,,0.748
637,1:no,1:no,,0.789
638,1:no,1:no,,0.905
639,1:no,1:no,,0.758
640,1:no,1:no,,0.712
641,1:no,1:no,,0.913
642,1:no,1:no,,0.778
643,1:no,1:no,,0.792
644,1:no,1:no,,0.893
645,1:no,1:no,,0.796
646,1:no,1:no,,0.8
647,1:no,1:no,,0.888
648,1:no,1:no,,0.697
649,1:no,1:no,,0.724
650,1:no,1:no,,0.912
651,1:no,1:no,,0.758
652,1:no,1:no,,0.771
653,1:no,1:no,,0.91
654,1:no,1:no,,0.747
655,1:no,1:no,,0.772
656,1:no,1:no,,0.907
657,1:no,1:no,,0.737
658,1:no,1:no,,0.697
659,1:no,1:no,,0.907
660,1:no,1:no,,0.737
661,1:no,1:no,,0.762
662,1:no,1:no,,0.911
663,1:no,1:no,,0.756
664,1:no,1:no,,0.701
665,1:no,1:no,,0.793
666,1:no,1:no,,0.761
667,1:no,1:no,,0.757
668,1:no,1:no,,0.721
669,1:no,2:yes,+,0.635
670,1:no,1:no,,0.534
671,1:no,1:no,,0.842
672,1:no,1:no,,0.7
673,1:no,1:no,,0.686
674,1:no,1:no,,0.573
675,1:no,2:yes,+,0.513
676,1:no,1:no,,0.524
677,1:no,2:yes,+,0.515
678,2:yes,2:yes,,0.816
679,2:yes,2:yes,,0.851
680,1:no,1:no,,0.519
681,2:yes,2:yes,,0.788
682,2:yes,2:yes,,0.851
683,1:no,1:no,,0.866
684,1:no,1:no,,0.735
685,1:no,1:no,,0.711
686,1:no,1:no,,0.853
687,1:no,1:no,,0.776
688,1:no,1:no,,0.787
689,1:no,1:no,,0.851
690,1:no,1:no,,0.634
691,1:no,1:no,,0.754
692,1:no,1:no,,0.862
693,1:no,1:no,,0.786
694,1:no,1:no,,0.888
695,1:no,1:no,,0.773
696,1:no,1:no,,0.749
697,1:no,1:no,,0.878
698,1:no,1:no,,0.826
699,1:no,1:no,,0.786
700,1:no,1:no,,0.882
701,1:no,1:no,,0.718
702,1:no,1:no,,0.616
703,1:no,1:no,,0.887
704,1:no,1:no,,0.722
705,1:no,1:no,,0.626
706,1:no,1:no,,0.878
707,1:no,1:no,,0.723
708,1:no,1:no,,0.601
709,1:no,1:no,,0.887
710,1:no,1:no,,0.725
711,1:no,1:no,,0.612
712,1:no,1:no,,0.893
713,1:no,1:no,,0.79
714,1:no,1:no,,0.749
715,1:no,1:no,,0.906
716,1:no,1:no,,0.841
717,1:no,1:no,,0.816
718,1:no,1:no,,0.889
719,1:no,1:no,,0.761
720,1:no,1:no,,0.793
721,1:no,1:no,,0.889
722,1:no,1:no,,0.729
723,1:no,1:no,,0.701
724,1:no,1:no,,0.89
725,1:no,1:no,,0.761
726,1:no,1:no,,0.706
727,1:no,1:no,,0.902
728,1:no,1:no,,0.816
729,1:no,1:no,,0.777
730,1:no,1:no,,0.887
731,1:no,1:no,,0.843
732,1:no,1:no,,0.832
733,1:no,1:no,,0.907
734,1:no,1:no,,0.779
735,1:no,1:no,,0.8
736,1:no,1:no,,0.907
737,1:no,1:no,,0.771
738,1:no,1:no,,0.724
739,1:no,1:no,,0.913
740,1:no,1:no,,0.799
741,1:no,1:no,,0.735
742,1:no,1:no,,0.793
743,1:no,1:no,,0.758
744,1:no,1:no,,0.703
745,1:no,1:no,,0.633
746,1:no,1:no,,0.703
747,1:no,2:yes,+,0.747
748,1:no,1:no,,0.692
749,1:no,2:yes,+,0.81
750,1:no,1:no,,0.858
751,1:no,1:no,,0.711
752,1:no,1:no,,0.853
753,1:no,1:no,,0.77
754,1:no,1:no,,0.843
755,1:no,1:no,,0.572
756,1:no,1:no,,0.831
757,1:no,1:no,,0.873
758,1:no,1:no,,0.755
759,1:no,1:no,,0.861
760,1:no,1:no,,0.778
761,1:no,1:no,,0.873
762,1:no,1:no,,0.57
763,1:no,1:no,,0.881
764,1:no,1:no,,0.892
765,1:no,1:no,,0.792
766,1:no,1:no,,0.891
767,1:no,1:no,,0.815
768,1:no,1:no,,0.797
769,1:no,1:no,,0.512
770,1:no,1:no,,0.871
771,1:no,1:no,,0.612
772,1:no,1:no,,0.893
773,1:no,1:no,,0.791
774,1:no,1:no,,0.883
775,1:no,1:no,,0.831
776,1:no,1:no,,0.897
777,1:no,1:no,,0.631
778,1:no,1:no,,0.894
779,1:no,1:no,,0.633
780,1:no,1:no,,0.901
781,1:no,1:no,,0.746
782,1:no,1:no,,0.899
783,1:no,1:no,,0.751
784,1:no,1:no,,0.904
785,1:no,1:no,,0.811
786,1:no,1:no,,0.9
787,1:no,1:no,,0.826
788,1:no,1:no,,0.881
789,1:no,1:no,,0.659
790,1:no,1:no,,0.889
791,1:no,1:no,,0.722
792,1:no,1:no,,0.793
793,1:no,1:no,,0.676
794,1:no,1:no,,0.7
795,1:no,1:no,,0.835
796,1:no,1:no,,0.831
797,2:yes,1:no,+,0.622
798,2:yes,1:no,+,0.63
799,1:no,1:no,,0.84
800,1:no,1:no,,0.651
801,1:no,1:no,,0.68
802,1:no,1:no,,0.851
803,1:no,1:no,,0.723
804,1:no,1:no,,0.751
805,1:no,1:no,,0.837
806,1:no,1:no,,0.552
807,1:no,1:no,,0.573
808,1:no,1:no,,0.837
809,1:no,1:no,,0.641
810,1:no,1:no,,0.654
811,1:no,1:no,,0.869
812,1:no,1:no,,0.68
813,1:no,1:no,,0.702
814,1:no,1:no,,0.744
815,1:no,1:no,,0.633
816,1:no,1:no,,0.638
817,1:no,1:no,,0.758
818,1:no,1:no,,0.523
819,1:no,1:no,,0.518
820,1:no,1:no,,0.765
821,1:no,1:no,,0.585
822,1:no,1:no,,0.595
823,1:no,1:no,,0.892
824,1:no,1:no,,0.734
825,1:no,1:no,,0.739
826,1:no,1:no,,0.887
827,1:no,1:no,,0.757
828,1:no,1:no,,0.766
829,1:no,1:no,,0.905
830,1:no,1:no,,0.7
831,1:no,1:no,,0.715
832,1:no,1:no,,0.882
833,1:no,1:no,,0.665
834,1:no,1:no,,0.681
835,1:no,1:no,,0.884
836,1:no,1:no,,0.667
837,1:no,1:no,,0.683
838,1:no,1:no,,0.893
839,1:no,1:no,,0.729
840,1:no,1:no,,0.734
841,1:no,1:no,,0.897
842,1:no,1:no,,0.797
843,1:no,1:no,,0.79
844,1:no,1:no,,0.906
845,1:no,1:no,,0.776
846,1:no,1:no,,0.768
847,1:no,1:no,,0.887
848,1:no,1:no,,0.722
849,1:no,1:no,,0.709
850,1:no,1:no,,0.887
851,1:no,1:no,,0.749
852,1:no,1:no,,0.741
853,1:no,1:no,,0.785
854,1:no,1:no,,0.665
855,1:no,1:no,,0.785
856,2:yes,1:no,+,0.619
857,1:no,1:no,,0.826
858,1:no,1:no,,0.694
859,1:no,1:no,,0.801
860,1:no,1:no,,0.633
861,1:no,1:no,,0.803
862,1:no,1:no,,0.565
863,1:no,1:no,,0.843
864,1:no,1:no,,0.666
865,1:no,1:no,,0.837
866,1:no,1:no,,0.73
867,1:no,1:no,,0.826
868,1:no,1:no,,0.648
869,1:no,1:no,,0.823
870,1:no,1:no,,0.646
871,1:no,1:no,,0.842
872,1:no,1:no,,0.676
873,1:no,1:no,,0.845
874,1:no,1:no,,0.691
875,1:no,1:no,,0.85
876,1:no,1:no,,0.692
877,1:no,1:no,,0.793
878,1:no,1:no,,0.723
879,1:no,1:no,,0.758
880,1:no,1:no,,0.805
881,1:no,1:no,,0.72
882,1:no,1:no,,0.767
883,1:no,1:no,,0.755
884,1:no,2:yes,+,0.653
885,1:no,2:yes,+,0.508
886,1:no,1:no,,0.737
887,2:yes,2:yes,,0.736
888,2:yes,2:yes,,0.737
889,1:no,1:no,,0.751
890,2:yes,2:yes,,0.674
891,2:yes,2:yes,,0.73
892,1:no,1:no,,0.876
893,1:no,1:no,,0.712
894,1:no,1:no,,0.711
895,1:no,1:no,,0.862
896,1:no,1:no,,0.79
897,1:no,1:no,,0.795
898,1:no,1:no,,0.853
899,1:no,1:no,,0.616
900,1:no,1:no,,0.593
901,1:no,1:no,,0.86
902,1:no,1:no,,0.891
903,1:no,1:no,,0.756
904,1:no,1:no,,0.746
905,1:no,1:no,,0.872
906,1:no,1:no,,0.816
907,1:no,1:no,,0.808
908,1:no,1:no,,0.866
909,1:no,1:no,,0.636
910,1:no,1:no,,0.64
911,1:no,1:no,,0.872
912,1:no,1:no,,0.674
913,1:no,1:no,,0.658
914,1:no,1:no,,0.902
915,1:no,1:no,,0.788
916,1:no,1:no,,0.764
917,1:no,1:no,,0.888
918,1:no,1:no,,0.814
919,1:no,1:no,,0.788
920,1:no,1:no,,0.911
921,1:no,1:no,,0.715
