@relation learnngCellDatasetGender

@attribute ArticleId numeric
@attribute PMCid numeric
@attribute TableName String
@attribute SpecPragmatics {BaselineCharacteristic}
@attribute CellContent String
@attribute Header String
@attribute Stub String
@attribute SuperRow String
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasGender {no,yes}

@data
25,1131894,'Table 3',BaselineCharacteristic,Squamous,?,Squamous,' Histology',3,0,24,no
25,1131894,'Table 3',BaselineCharacteristic,'xx (xxx\%)',?,Squamous,' Histology',3,1,43,no
25,1131894,'Table 3',BaselineCharacteristic,'FIGO Stage*',?,None,None,4,0,2,no
25,1131894,'Table 3',BaselineCharacteristic,?,?,None,None,4,1,3,no
25,1131894,'Table 3',BaselineCharacteristic,??IIB,?,??IIB,' FIGO Stage* Squamous',5,0,2,no
25,1131894,'Table 3',BaselineCharacteristic,'x (xx\%)',?,??IIB,' FIGO Stage* Squamous',5,1,3,no
25,1131894,'Table 3',BaselineCharacteristic,??IIIB,?,??IIIB,' FIGO Stage* Squamous',6,0,2,no
25,1131894,'Table 3',BaselineCharacteristic,'x (xx\%)',?,??IIIB,' FIGO Stage* Squamous',6,1,3,no
25,1131894,'Table 3',BaselineCharacteristic,'Performance Status**',?,None,None,7,0,2,no
25,1131894,'Table 3',BaselineCharacteristic,?,?,None,None,7,1,3,no
25,1131894,'Table 3',BaselineCharacteristic,x,?,x,?,8,0,2,no
25,1131894,'Table 3',BaselineCharacteristic,'xx (xx\%)',?,x,?,8,1,3,no
25,1131894,'Table 3',BaselineCharacteristic,x,?,x,?,9,0,2,no
25,1131894,'Table 3',BaselineCharacteristic,'x (xx\%)',?,x,?,9,1,3,no
164,1386704,'Table 1',BaselineCharacteristic,'Sex (Male/Female)',?,'Sex (Male/Female)',None,0,0,2,no
164,1386704,'Table 1',BaselineCharacteristic,xx/x,?,'Sex (Male/Female)',None,0,1,3,yes
164,1386704,'Table 1',BaselineCharacteristic,'Age, range, yr (mean ± SD)',?,'Age, range, yr (mean ± SD)',None,1,0,2,no
164,1386704,'Table 1',BaselineCharacteristic,'xx–xx (xx ± x.x)',?,'Age, range, yr (mean ± SD)',None,1,1,3,no
164,1386704,'Table 1',BaselineCharacteristic,'FVC\% pred, x ± SD',?,'FVC\% pred, x ± SD',None,2,0,2,no
164,1386704,'Table 1',BaselineCharacteristic,'xx.x ± xx.x',?,'FVC\% pred, x ± SD',None,2,1,3,no
164,1386704,'Table 1',BaselineCharacteristic,'FEVx\%pred, x ± SD',?,'FEVx\%pred, x ± SD',None,3,0,2,no
164,1386704,'Table 1',BaselineCharacteristic,'xx.x ± xx.x',?,'FEVx\%pred, x ± SD',None,3,1,3,no
164,1386704,'Table 1',BaselineCharacteristic,'TLC\% pred, x ± SD',?,'TLC\% pred, x ± SD',None,4,0,2,no
164,1386704,'Table 1',BaselineCharacteristic,'xx.x ± x.x',?,'TLC\% pred, x ± SD',None,4,1,3,no
164,1386704,'Table 1',BaselineCharacteristic,'TLCO\% pred, x+SD',?,'TLCO\% pred, x+SD',None,5,0,2,no
164,1386704,'Table 1',BaselineCharacteristic,'xx.x ± xx.x',?,'TLCO\% pred, x+SD',None,5,1,3,no
166,1389847,'Table I.',BaselineCharacteristic,PatientID,?,None,None,0,0,12,no
166,1389847,'Table I.',BaselineCharacteristic,Age,?,PatientID,None,0,1,1,no
166,1389847,'Table I.',BaselineCharacteristic,Sex,?,PatientID,None,0,2,1,no
166,1389847,'Table I.',BaselineCharacteristic,Diagnosis,?,PatientID,None,0,3,1,no
166,1389847,'Table I.',BaselineCharacteristic,Stage,?,PatientID,None,0,4,1,no
166,1389847,'Table I.',BaselineCharacteristic,'Previous therapy',?,PatientID,None,0,5,1,no
166,1389847,'Table I.',BaselineCharacteristic,'Disease statusat entry',?,PatientID,None,0,6,1,no
166,1389847,'Table I.',BaselineCharacteristic,'Diseaseat study entry',?,PatientID,None,0,7,1,no
166,1389847,'Table I.',BaselineCharacteristic,'Best responseon study',?,PatientID,None,0,8,1,no
166,1389847,'Table I.',BaselineCharacteristic,'Durationon study',?,PatientID,None,0,9,1,no
166,1389847,'Table I.',BaselineCharacteristic,Currentstatus,?,PatientID,None,0,10,1,no
166,1389847,'Table I.',BaselineCharacteristic,?,'PatientID ; ',None,None,1,0,2,no
166,1389847,'Table I.',BaselineCharacteristic,yr,'Age ; ',None,None,1,1,3,no
166,1389847,'Table I.',BaselineCharacteristic,?,'Sex ; ',None,None,1,2,3,no
166,1389847,'Table I.',BaselineCharacteristic,?,'Diagnosis ; ',None,None,1,3,3,no
166,1389847,'Table I.',BaselineCharacteristic,?,'Stage ; ',None,None,1,4,3,no
166,1389847,'Table I.',BaselineCharacteristic,?,'Previous therapy ; ',None,None,1,5,3,no
166,1389847,'Table I.',BaselineCharacteristic,?,'Disease statusat entry ; ',None,None,1,6,3,no
166,1389847,'Table I.',BaselineCharacteristic,?,'Diseaseat study entry ; ',None,None,1,7,3,no
166,1389847,'Table I.',BaselineCharacteristic,?,'Best responseon study ; ',None,None,1,8,3,no
166,1389847,'Table I.',BaselineCharacteristic,mo,'Durationon study ; ',None,None,1,9,3,no
166,1389847,'Table I.',BaselineCharacteristic,?,'Currentstatus ; ',None,None,1,10,3,no
166,1389847,'Table II.',BaselineCharacteristic,'Patient ID',?,None,None,0,0,12,no
166,1389847,'Table II.',BaselineCharacteristic,'DC injection no.',?,'Patient ID',None,0,1,1,no
166,1389847,'Table II.',BaselineCharacteristic,Dose,?,'Patient ID',None,0,2,1,no
166,1389847,'Table II.',BaselineCharacteristic,Viability,?,'Patient ID',None,0,3,1,no
166,1389847,'Table II.',BaselineCharacteristic,Purity,?,'Patient ID',None,0,4,1,no
166,1389847,'Table II.',BaselineCharacteristic,Maturity,?,'Patient ID',None,0,5,1,no
166,1389847,'Table II.',BaselineCharacteristic,'Injection-related toxicity',?,'Patient ID',None,0,6,1,no
166,1389847,'Table II.',BaselineCharacteristic,?,'Patient ID ; ',None,None,1,0,2,no
166,1389847,'Table II.',BaselineCharacteristic,?,'DC injection no. ; ',None,None,1,1,3,no
166,1389847,'Table II.',BaselineCharacteristic,'xxx cells','Dose ; ',None,None,1,2,3,no
166,1389847,'Table II.',BaselineCharacteristic,?,'Viability ; ',None,None,1,3,3,no
166,1389847,'Table II.',BaselineCharacteristic,?,'Purity ; ',None,None,1,4,3,no
166,1389847,'Table II.',BaselineCharacteristic,'\% CDxx+','Maturity ; ',None,None,1,5,3,no
166,1389847,'Table II.',BaselineCharacteristic,?,'Injection-related toxicity ; ',None,None,1,6,3,no
215,1488867,'Table 1',BaselineCharacteristic,Characteristic,?,None,None,0,0,12,no
215,1488867,'Table 1',BaselineCharacteristic,'n(\%)',?,Characteristic,None,0,1,1,no
215,1488867,'Table 1',BaselineCharacteristic,'Age (years)','Characteristic ; ',None,None,1,0,24,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ','Age (years)',None,1,1,43,no
215,1488867,'Table 1',BaselineCharacteristic,?Median,'Characteristic ; ',?Median,' Age (years)',2,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,xx,'n(\%) ; ',?Median,' Age (years)',2,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?Range,'Characteristic ; ',?Range,' Age (years)',3,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,xx–xx,'n(\%) ; ',?Range,' Age (years)',3,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?,'Characteristic ; ',None,None,4,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ',None,None,4,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,'?P. S x–x','Characteristic ; ','?P. S x–x',' Age (years)',5,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,'xx(xx\%)','n(\%) ; ','?P. S x–x',' Age (years)',5,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,'?P. S x','Characteristic ; ','?P. S x',' Age (years)',6,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,'x (xx\%)','n(\%) ; ','?P. S x',' Age (years)',6,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?,'Characteristic ; ',None,None,7,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ',None,None,7,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,Histology,'Characteristic ; ',None,None,8,0,24,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ',Histology,None,8,1,43,no
215,1488867,'Table 1',BaselineCharacteristic,'?Infiltrating ductal ca','Characteristic ; ','?Infiltrating ductal ca',' Histology',9,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,'xx (xx)','n(\%) ; ','?Infiltrating ductal ca',' Histology',9,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,'?Infiltrating lobular ca','Characteristic ; ','?Infiltrating lobular ca',' Histology',10,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,'x (xx)','n(\%) ; ','?Infiltrating lobular ca',' Histology',10,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?,'Characteristic ; ',None,None,11,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ',None,None,11,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,'Estrogen status','Characteristic ; ',None,None,12,0,24,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ','Estrogen status',None,12,1,43,no
215,1488867,'Table 1',BaselineCharacteristic,?ER+,'Characteristic ; ',?ER+,' Estrogen status',13,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,'xx (xx)','n(\%) ; ',?ER+,' Estrogen status',13,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,'?ER -','Characteristic ; ','?ER -',' Estrogen status',14,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,'x (xx)','n(\%) ; ','?ER -',' Estrogen status',14,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?Unknown,'Characteristic ; ',?Unknown,' Estrogen status',15,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,'x (xx)','n(\%) ; ',?Unknown,' Estrogen status',15,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?,'Characteristic ; ',None,None,16,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ',None,None,16,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,'Dominant sites of metastases','Characteristic ; ',None,None,17,0,24,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ','Dominant sites of metastases',None,17,1,43,no
215,1488867,'Table 1',BaselineCharacteristic,?Nodes,'Characteristic ; ',?Nodes,' Dominant sites of metastases',18,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,xx(xx),'n(\%) ; ',?Nodes,' Dominant sites of metastases',18,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,'?Soft tissues','Characteristic ; ','?Soft tissues',' Dominant sites of metastases',19,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,x(x),'n(\%) ; ','?Soft tissues',' Dominant sites of metastases',19,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?Bone,'Characteristic ; ',?Bone,' Dominant sites of metastases',20,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,x(xx),'n(\%) ; ',?Bone,' Dominant sites of metastases',20,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?Liver,'Characteristic ; ',?Liver,' Dominant sites of metastases',21,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,x(xx),'n(\%) ; ',?Liver,' Dominant sites of metastases',21,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?Lung,'Characteristic ; ',?Lung,' Dominant sites of metastases',22,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,x(xx),'n(\%) ; ',?Lung,' Dominant sites of metastases',22,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,?,'Characteristic ; ',None,None,23,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ',None,None,23,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,'Pretreatment with antracyclines','Characteristic ; ',None,None,24,0,24,no
215,1488867,'Table 1',BaselineCharacteristic,?,'n(\%) ; ','Pretreatment with antracyclines',None,24,1,43,no
215,1488867,'Table 1',BaselineCharacteristic,'?Adjuvant CT','Characteristic ; ','?Adjuvant CT',' Pretreatment with antracyclines',25,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,xx(xx),'n(\%) ; ','?Adjuvant CT',' Pretreatment with antracyclines',25,1,3,no
215,1488867,'Table 1',BaselineCharacteristic,'?Not adjuvant CT','Characteristic ; ','?Not adjuvant CT',' Pretreatment with antracyclines',26,0,2,no
215,1488867,'Table 1',BaselineCharacteristic,xx(xx),'n(\%) ; ','?Not adjuvant CT',' Pretreatment with antracyclines',26,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,Variables,?,None,None,0,0,12,no
309,1586008,'Table 1',BaselineCharacteristic,'N° (\%)',?,Variables,None,0,1,1,no
309,1586008,'Table 1',BaselineCharacteristic,Females/males,'Variables ; ',Females/males,None,1,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,xx/x,'N° (\%) ; ',Females/males,None,1,1,3,yes
309,1586008,'Table 1',BaselineCharacteristic,'Mean age (years)','Variables ; ','Mean age (years)',None,2,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'xx.x ± x.x','N° (\%) ; ','Mean age (years)',None,2,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Mean Body Surface Area (mx)','Variables ; ','Mean Body Surface Area (mx)',None,3,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x.xx ± x.x','N° (\%) ; ','Mean Body Surface Area (mx)',None,3,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Mean Body Mass Index (Kg/mx)','Variables ; ','Mean Body Mass Index (Kg/mx)',None,4,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'xx.x ± x.x','N° (\%) ; ','Mean Body Mass Index (Kg/mx)',None,4,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,Diabetes,'Variables ; ',Diabetes,None,5,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (xx)','N° (\%) ; ',Diabetes,None,5,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Coronary Artery Disease history','Variables ; ','Coronary Artery Disease history',None,6,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (xx)','N° (\%) ; ','Coronary Artery Disease history',None,6,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,Hypertension,'Variables ; ',Hypertension,None,7,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (xx)','N° (\%) ; ',Hypertension,None,7,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,Hypothyroidism,'Variables ; ',Hypothyroidism,None,8,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (xx.x)','N° (\%) ; ',Hypothyroidism,None,8,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Smoking history','Variables ; ','Smoking history',None,9,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (xx.x)','N° (\%) ; ','Smoking history',None,9,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Previous Transient Ischemic Attack','Variables ; ','Previous Transient Ischemic Attack',None,10,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (xx)','N° (\%) ; ','Previous Transient Ischemic Attack',None,10,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Previous carotid endarterectomy','Variables ; ','Previous carotid endarterectomy',None,11,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (x.x)','N° (\%) ; ','Previous carotid endarterectomy',None,11,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Peripheral vascular disease','Variables ; ','Peripheral vascular disease',None,12,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (xx.x)','N° (\%) ; ','Peripheral vascular disease',None,12,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Atrial fibrillation','Variables ; ','Atrial fibrillation',None,13,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (x.x)','N° (\%) ; ','Atrial fibrillation',None,13,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Chronic obstructive pulmonary disease','Variables ; ','Chronic obstructive pulmonary disease',None,14,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (xx)','N° (\%) ; ','Chronic obstructive pulmonary disease',None,14,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Mean New York Heart Association Functional class','Variables ; ','Mean New York Heart Association Functional class',None,15,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x.xx ± x.xx','N° (\%) ; ','Mean New York Heart Association Functional class',None,15,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Mean Canadian cardiovascular Class','Variables ; ','Mean Canadian cardiovascular Class',None,16,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x.xx ± x.xx','N° (\%) ; ','Mean Canadian cardiovascular Class',None,16,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Left ventricular ejection fraction <xx\%','Variables ; ','Left ventricular ejection fraction <xx\%',None,17,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (x.x)','N° (\%) ; ','Left ventricular ejection fraction <xx\%',None,17,1,3,no
309,1586008,'Table 1',BaselineCharacteristic,'Mitral valve disease','Variables ; ','Mitral valve disease',None,18,0,2,no
309,1586008,'Table 1',BaselineCharacteristic,'x (xx.x)','N° (\%) ; ','Mitral valve disease',None,18,1,3,no
449,1885552,'Table 1',BaselineCharacteristic,'Intervention group (number of subjects)',?,None,None,0,0,12,no
449,1885552,'Table 1',BaselineCharacteristic,'Age (years)',?,'Intervention group (number of subjects)',None,0,1,1,no
449,1885552,'Table 1',BaselineCharacteristic,'Weight (kp)',?,'Intervention group (number of subjects)',None,0,2,1,no
449,1885552,'Table 1',BaselineCharacteristic,'Height (cm)',?,'Intervention group (number of subjects)',None,0,3,1,no
449,1885552,'Table 1',BaselineCharacteristic,'Systolic blood pressure (mm Hg)',?,'Intervention group (number of subjects)',None,0,4,1,no
449,1885552,'Table 1',BaselineCharacteristic,'Diastolic blood pressure (mm Hg)',?,'Intervention group (number of subjects)',None,0,5,1,no
449,1885552,'Table 1',BaselineCharacteristic,'Stretching (xx)','Intervention group (number of subjects) ; ','Stretching (xx)',None,1,0,2,no
449,1885552,'Table 1',BaselineCharacteristic,'xx,x ± x,x','Age (years) ; ','Stretching (xx)',None,1,1,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xx,x ± xx,x','Weight (kp) ; ','Stretching (xx)',None,1,2,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xxx ± xx,x','Height (cm) ; ','Stretching (xx)',None,1,3,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xxx ± xx,x','Systolic blood pressure (mm Hg) ; ','Stretching (xx)',None,1,4,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xx ± x,x','Diastolic blood pressure (mm Hg) ; ','Stretching (xx)',None,1,5,3,no
449,1885552,'Table 1',BaselineCharacteristic,'Strength (xx)','Intervention group (number of subjects) ; ','Strength (xx)',None,2,0,2,no
449,1885552,'Table 1',BaselineCharacteristic,'xx,x ± x,x','Age (years) ; ','Strength (xx)',None,2,1,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xx,x ± xx,x','Weight (kp) ; ','Strength (xx)',None,2,2,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xxx ± x,x','Height (cm) ; ','Strength (xx)',None,2,3,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xxx ± xx,x','Systolic blood pressure (mm Hg) ; ','Strength (xx)',None,2,4,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xx ± xx,x','Diastolic blood pressure (mm Hg) ; ','Strength (xx)',None,2,5,3,no
449,1885552,'Table 1',BaselineCharacteristic,'Vibration (xx)','Intervention group (number of subjects) ; ','Vibration (xx)',None,3,0,2,no
449,1885552,'Table 1',BaselineCharacteristic,'xx,x ± x,x','Age (years) ; ','Vibration (xx)',None,3,1,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xx,x ± xx,x','Weight (kp) ; ','Vibration (xx)',None,3,2,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xxx ± x,x','Height (cm) ; ','Vibration (xx)',None,3,3,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xxx ± xx,x','Systolic blood pressure (mm Hg) ; ','Vibration (xx)',None,3,4,3,no
449,1885552,'Table 1',BaselineCharacteristic,'xx ± x,x','Diastolic blood pressure (mm Hg) ; ','Vibration (xx)',None,3,5,3,no
715,1998889,Table 1,BaselineCharacteristic,'Age (yrs)',?,None,None,0,0,12,no
715,1998889,Table 1,BaselineCharacteristic,Sex,?,'Age (yrs)',None,0,1,1,no
715,1998889,Table 1,BaselineCharacteristic,WHO,?,'Age (yrs)',None,0,2,1,no
715,1998889,Table 1,BaselineCharacteristic,Surgery,?,'Age (yrs)',None,0,3,1,no
715,1998889,Table 1,BaselineCharacteristic,'RIT cycles',?,'Age (yrs)',None,0,4,1,no
715,1998889,Table 1,BaselineCharacteristic,'Cum. activity (MBq)/nuclide',?,'Age (yrs)',None,0,5,1,no
715,1998889,Table 1,BaselineCharacteristic,RIT,?,'Age (yrs)',None,0,6,1,no
715,1998889,Table 1,BaselineCharacteristic,'No. of PET scans',?,'Age (yrs)',None,0,7,1,no
715,1998889,Table 1,BaselineCharacteristic,'TUmax/BG: baseline',?,'Age (yrs)',None,0,8,1,no
