idCell,specId,TableOrder,Content,concepts,semanticTypes
7508,1c44c8b7-8b38-4487-a8ba-a94f708d1f50,"Table 0","Interacting Drug","C0013227, C1254351","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
7509,1c44c8b7-8b38-4487-a8ba-a94f708d1f50,"Table 0",Interaction,C1704675,"Functional Concept (ftcn)"
9633,96582661-4df2-441c-bc1c-310f58cfcb83,"Table 3","
                              Drug Name
                           ","C0013227, C1254351, C0027365, C1547383","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Intellectual Product (inpr), Intellectual Product (inpr)"
9634,96582661-4df2-441c-bc1c-310f58cfcb83,"Table 3","
                              Effect on Concentration of Nevirapine or Concomitant Drug
                           ","C1280500, C2348382, C0004268, C0086045, C1446561, C0132326, C0521115, C0013227, C1254351","Qualitative Concept (qlco), Qualitative Concept (qlco), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Organic Chemical (orch), Temporal Concept (tmco), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
9635,96582661-4df2-441c-bc1c-310f58cfcb83,"Table 3","
                              Clinical Comment
                           ","C0205210, C0237412, C0497591, C1553058, C0282411, C0947611","Qualitative Concept (qlco), Professional or Occupational Group (prog), Professional or Occupational Group (prog), Professional or Occupational Group (prog), Intellectual Product (inpr), Intellectual Product (inpr)"
11016,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             Co-administered Drug
                                          
                                       ","C3245499, C1521801, C0013227, C1254351","Geographic Area (geoa), Functional Concept (ftcn), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
11017,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             Dose of Co-administered Drug
                                          
                                       ","C0178602, C0869039, C1114758, C3245499, C1521801, C0013227, C1254351","Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna), Geographic Area (geoa), Functional Concept (ftcn), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
11018,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             Dose Regimen of Immediate-Release Nevirapine
                                          
                                       ","C1708470, C0132326, C2348331","Biomedical or Dental Material (bodm), Organic Chemical (orch), Therapeutic or Preventive Procedure (topp)"
11019,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             n
                                          
                                       ","C0369718, C0441922","Amino Acid, Peptide, or Protein (aapp), Intellectual Product (inpr)"
11020,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             % Change of Co-administered Drug Pharmacokinetic Parameters (90% CI)
                                          
                                       ","C0392747, C0443172, C1705241, C3245499, C1521801, C0013227, C1254351, C0450371, C0008107, C3259781, C1705911","Functional Concept (ftcn), Quantitative Concept (qnco), Quantitative Concept (qnco), Geographic Area (geoa), Functional Concept (ftcn), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Organism Attribute (orga), Geographic Area (geoa), Laboratory Procedure (lbpr), Idea or Concept (idcn)"
11021,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             % Change of Co-administered Drug Pharmacokinetic Parameters (90% CI)
                                          
                                       ","C0392747, C0443172, C1705241, C3245499, C1521801, C0013227, C1254351, C0450371, C0008107, C3259781, C1705911","Functional Concept (ftcn), Quantitative Concept (qnco), Quantitative Concept (qnco), Geographic Area (geoa), Functional Concept (ftcn), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Organism Attribute (orga), Geographic Area (geoa), Laboratory Procedure (lbpr), Idea or Concept (idcn)"
11022,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             % Change of Co-administered Drug Pharmacokinetic Parameters (90% CI)
                                          
                                       ","C0392747, C0443172, C1705241, C3245499, C1521801, C0013227, C1254351, C0450371, C0008107, C3259781, C1705911","Functional Concept (ftcn), Quantitative Concept (qnco), Quantitative Concept (qnco), Geographic Area (geoa), Functional Concept (ftcn), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Organism Attribute (orga), Geographic Area (geoa), Laboratory Procedure (lbpr), Idea or Concept (idcn)"
11027,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             AUC
                                          
                                       ",C0376690,"Quantitative Concept (qnco)"
11028,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             Cmax
                                             
                                          
                                       ",C2347813,"Quantitative Concept (qnco)"
11029,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             Cmin
                                             
                                          
                                       ",C2827771,"Quantitative Concept (qnco)"
11030,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          Atazanavir/RitonavirFor information regarding clinical recommendations, see Drug Interactions (7)
                                                .
                                             Parallel group design; n = 23 for atazanavir/ritonavir + nevirapine, n = 22 for atazanavir/ritonavir without nevirapine. Changes in atazanavir PK are relative to atazanavir/ritonavir 300 mg/100 mg alone.
                                          
                                       ","C1145759, C1533716, C0205210, C0237412, C0497591, C1553058, C0034866, C0042789, C1947903, C1145759, C1442061, C1319635, C1442442, C1608330, C0687133, C2348042, C2826345, C0441833, C0687744, C1257890, C1552516, C1705428, C1705429, C1707689, C2983265, C0369718, C0441922, C0450371, C1977391, C0132326, C0369718, C0441922, C0450371, C1977391, C0132326, C0392747, C0443172, C3875154, C1977391, C0205171, C0439044, C0679994","Organic Chemical (orch), Idea or Concept (idcn), Qualitative Concept (qlco), Professional or Occupational Group (prog), Professional or Occupational Group (prog), Professional or Occupational Group (prog), Idea or Concept (idcn), Organism Function (orgf), Activity (acty), Organic Chemical (orch), Laboratory Procedure (lbpr), Quantitative Concept (qnco), Clinical Attribute (clna), Clinical Attribute (clna), Molecular Function (moft), Qualitative Concept (qlco), Research Activity (resa), Idea or Concept (idcn), Population Group (popg), Population Group (popg), Health Care Related Organization (hcro), Conceptual Entity (cnce), Population Group (popg), Activity (acty), Intellectual Product (inpr), Amino Acid, Peptide, or Protein (aapp), Intellectual Product (inpr), Organism Attribute (orga), Pharmacologic Substance (phsu), Organic Chemical (orch), Amino Acid, Peptide, or Protein (aapp), Intellectual Product (inpr), Organism Attribute (orga), Pharmacologic Substance (phsu), Organic Chemical (orch), Functional Conc"
11031,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          300 mg/100 mg QD day 4 to 13, then 400 mg/100 mg QD, day 14 to 23
                                       ","C1442061, C1442442, C1608330, C0439422, C0332173, C0450371, C1883708, C1442061, C1442442, C1608330, C1319635, C0332173, C0332173, C0439228, C0439505, C0450371, C0450371","Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Temporal Concept (tmco), Organism Attribute (orga), Temporal Concept (tmco), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Temporal Concept (tmco), Temporal Concept (tmco), Temporal Concept (tmco), Temporal Concept (tmco), Organism Attribute (orga), Organism Attribute (orga)"
11032,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          200 mg BID day 1 to 23. Subjects were treated with nevirapine prior to trial entry.
                                       ","C1442061, C1442442, C1608330, C0439422, C0450371, C0681850, C1550501, C1706203, C2349001, C2697811, C1522326, C0132326, C0008976, C1705654","Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organism Attribute (orga), Group (grup), Idea or Concept (idcn), Idea or Concept (idcn), Human (humn), Functional Concept (ftcn), Functional Concept (ftcn), Organic Chemical (orch), Research Activity (resa), Intellectual Product (inpr)"
11033,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          23
                                       ",C0450371,"Organism Attribute (orga)"
11034,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             Atazanavir 300 mg/100 mg
                                             
                                             ?42 (?52 to ?29)
                                       ","C1145759, C1442061, C1442442, C1608330, C1319635, C0450371, C0450371, C0450371","Organic Chemical (orch), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organism Attribute (orga), Organism Attribute (orga), Organism Attribute (orga)"
11035,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             Atazanavir 300 mg/100 mg
                                             
                                             ?28 (?40 to ?14)
                                       ","C1145759, C1442061, C1442442, C1608330, C1319635, C0450371, C0450371, C0450371","Organic Chemical (orch), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organism Attribute (orga), Organism Attribute (orga), Organism Attribute (orga)"
11036,690da74b-2481-47fc-93ae-8340e0caf0a4,"Table 5","
                                          
                                             Atazanavir 300 mg/100 mg
                                             
                                             ?72 (?80 to ?60)
                                       ","C1145759, C1442061, C1442442, C1608330, C1319635, C0450371, C0450371, C0450371","Organic Chemical (orch), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organism Attribute (orga), Organism Attribute (orga), Organism Attribute (orga)"
12406,829d58ef-9171-f9df-1625-be2f1929e9c0,"Table 8","
                                    Interacting Drug
                                 ","C0013227, C1254351","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
12407,829d58ef-9171-f9df-1625-be2f1929e9c0,"Table 8","
                                    Interaction
                                 ",C1704675,"Functional Concept (ftcn)"
16138,afe34ac2-1403-4754-9beb-f76393cdc3ca,"Table 3","Interacting Agents ","C0450442, C1254351, C1521826","Chemical Viewed Functionally (chvf), Pharmacologic Substance (phsu), Intellectual Product (inpr)"
16139,afe34ac2-1403-4754-9beb-f76393cdc3ca,"Table 3","Prescribing Recommendations ","C0278329, C0034866","Health Care Activity (hlca), Idea or Concept (idcn)"
19281,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Coadministered Drug
                                 
                              
                           ","C0013227, C1254351","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
19282,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Dosing Schedule
                                 
                              
                           ","C0178602, C0869039, C1114758, C0086960","Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna), Intellectual Product (inpr)"
19283,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Effect on ActiveMoiety (Risperidone + 9-Hydroxy- Risperidone (Ratio*)
                                 
                              
                           ","C1280500, C2348382, C0073393, C0700307, C0456603, C1547037","Qualitative Concept (qlco), Qualitative Concept (qlco), Organic Chemical (orch), Inorganic Chemical (inch), Quantitative Concept (qnco), Intellectual Product (inpr)"
19284,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Risperidone DoseRecommendation
                                 
                              
                           ",C0073393,"Organic Chemical (orch)"
19288,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Coadministered Drug
                                 
                              
                           ","C0013227, C1254351","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
19289,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Risperidone
                                 
                              
                           ",C0073393,"Organic Chemical (orch)"
19290,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","AUC
                                 
                              
                           ",C0376690,"Quantitative Concept (qnco)"
19291,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Cmax
                                 
                              
                           ",C2347813,"Quantitative Concept (qnco)"
19293,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Enzyme (CYP2D6)Inhibitors
                                 
                              
                           ","C0014442, C0243077","Enzyme (enzy), Chemical Viewed Functionally (chvf)"
19299,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Fluoxetine
                                 
                              
                           ",C0016365,"Organic Chemical (orch)"
19300,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","20 mg/day 
                                 
                              
                           ","C0450371, C0439422","Organism Attribute (orga), Quantitative Concept (qnco)"
19301,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","2 or 3 mg twicedaily
                                 
                              
                           ","C0026410, C0439269, C1960952, C2346927","Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii)"
19304,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Re-evaluate dosing. Do not exceed 8 mg/day
                           ","C0556581, C0220825, C2986904, C1518422, C0439422","Quantitative Concept (qnco), Health Care Activity (hlca), Idea or Concept (idcn), Functional Concept (ftcn), Quantitative Concept (qnco)"
19305,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Paroxetine
                                 
                              
                           ",C0070122,"Organic Chemical (orch)"
19306,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","10 mg/day 
                                 
                              
                           ","C0450371, C0439422","Organism Attribute (orga), Quantitative Concept (qnco)"
19307,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","4 mg/day
                                 
                              
                           ",C0439422,"Quantitative Concept (qnco)"
19310,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Re-evaluate dosing. 
                                 
                              
                           ","C0556581, C0220825, C2986904","Quantitative Concept (qnco), Health Care Activity (hlca), Idea or Concept (idcn)"
19312,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","20 mg/day 
                                 
                              
                           ","C0450371, C0439422","Organism Attribute (orga), Quantitative Concept (qnco)"
19313,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","4 mg/day
                                 
                              
                           ",C0439422,"Quantitative Concept (qnco)"
19316,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Do not exceed 8 mg/day
                                 
                              
                           ","C1518422, C0439422","Functional Concept (ftcn), Quantitative Concept (qnco)"
19318,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","40 mg/day 
                                 
                              
                           ","C0450371, C0439422","Organism Attribute (orga), Quantitative Concept (qnco)"
19319,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","4 mg/day
                                 
                              
                           ",C0439422,"Quantitative Concept (qnco)"
19323,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Enzyme (CYP3A/ PgP inducers) Inducers
                           ","C0014442, C1418520, C1422070, C3898767, C3898767","Enzyme (enzy), Gene or Genome (gngm), Gene or Genome (gngm), Substance (sbst), Substance (sbst)"
19329,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Carbamazepine 
                                 
                              
                           ","C0006949, C0682993","Organic Chemical (orch), Organic Chemical (orch)"
19330,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","573 ± 168 mg/day
                                 
                              
                           ","C1442061, C1442442, C1608330, C0439422","Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco)"
19331,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","3 mg twice daily
                                 
                              
                           ","C0026410, C0439269, C1960952, C2346927, C0585361","Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Temporal Concept (tmco)"
19332,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","0.51 
                                 
                              
                           ",C0450371,"Organism Attribute (orga)"
19333,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","0.55
                                 
                              
                           ",C0450371,"Organism Attribute (orga)"
19334,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Titrate dose upwards.Do not exceed twice the patient’s usual dose
                                 
                              
                           ","C1883350, C0178602, C0869039, C1114758, C1518422, C1720725, C1948050, C0565930, C2603362, C0030705, C2360836, C2360838, C2360840, C3538928, C0178602, C0869039, C1114758","Health Care Activity (hlca), Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna), Functional Concept (ftcn), Intellectual Product (inpr), Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna), Patient or Disabled Group (podg), Clinical Attribute (clna), Clinical Attribute (clna), Clinical Attribute (clna), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna)"
19335,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Enzyme (CYP3A)Inhibitors
                                 
                              
                           ","C0014442, C0243077","Enzyme (enzy), Chemical Viewed Functionally (chvf)"
19341,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Ranitidine 
                           ",C0034665,"Organic Chemical (orch)"
19342,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","150 mg twice daily
                                 
                              
                           ","C1442061, C1442442, C1608330, C0026410, C0439269, C1960952, C2346927, C0585361","Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Temporal Concept (tmco)"
19343,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","1 mg single dose
                                 
                              
                           ","C0026410, C0439269, C1960952, C2346927, C0037179, C0087136, C0205171, C0178602, C0869039, C1114758","Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Population Group (popg), Finding (fndg), Quantitative Concept (qnco), Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna)"
19346,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Dose adjustment notneeded
                                 
                              
                           ",C2826232,"Health Care Activity (hlca)"
19347,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Cimetidine 
                           ",C0008783,"Organic Chemical (orch)"
19348,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","400 mg twice daily
                                 
                              
                           ","C1442061, C1442442, C1608330, C0026410, C0439269, C1960952, C2346927, C0585361","Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Temporal Concept (tmco)"
19349,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","1 mg single dose
                                 
                              
                           ","C0026410, C0439269, C1960952, C2346927, C0037179, C0087136, C0205171, C0178602, C0869039, C1114758","Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Population Group (popg), Finding (fndg), Quantitative Concept (qnco), Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna)"
19352,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Dose adjustment notneeded
                                 
                              
                           ",C2826232,"Health Care Activity (hlca)"
19353,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Erythromycin 
                              
                           ",C0014806,"Antibiotic (antb)"
19354,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","500 mg four timesdaily
                                 
                              
                           ","C1442061, C1442442, C1608330, C0026410, C0439269, C1960952, C2346927, C0205450","Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Quantitative Concept (qnco)"
19355,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","1 mg single dose
                                 
                              
                           ","C0026410, C0439269, C1960952, C2346927, C0037179, C0087136, C0205171, C0178602, C0869039, C1114758","Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Population Group (popg), Finding (fndg), Quantitative Concept (qnco), Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna)"
19357,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","0.94
                                 
                              
                           ",C0450371,"Organism Attribute (orga)"
19358,0dc12b44-73f8-416c-88bb-0b11b3e35458,"Table 18","Dose adjustment notneeded
                                 
                              
                           ",C2826232,"Health Care Activity (hlca)"
19676,ef468722-68cd-440b-afd7-2285029db41f,"Table 9","
                              
                                 Drugs That are Affected by Ciprofloxacin
                              
                           ","C0013227, C3687832, C0392760, C1314939, C0008809","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Organic Chemical (orch)"
19677,ef468722-68cd-440b-afd7-2285029db41f,"Table 9","
                              
                                 Drugs That are Affected by Ciprofloxacin
                              
                           ","C0013227, C3687832, C0392760, C1314939, C0008809","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Organic Chemical (orch)"
19678,ef468722-68cd-440b-afd7-2285029db41f,"Table 9","
                              
                                 Drugs That are Affected by Ciprofloxacin
                              
                           ","C0013227, C3687832, C0392760, C1314939, C0008809","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Organic Chemical (orch)"
19679,ef468722-68cd-440b-afd7-2285029db41f,"Table 9","
                              
                                 Drug(s) 
                              
                           ","C0013227, C1254351, C0565930, C2603362","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Quantitative Concept (qnco), Clinical Attribute (clna)"
19680,ef468722-68cd-440b-afd7-2285029db41f,"Table 9","
                              
                                 Recommendation 
                              
                           ",C0034866,"Idea or Concept (idcn)"
19681,ef468722-68cd-440b-afd7-2285029db41f,"Table 9","
                              
                                 Comments 
                              
                           ","C0282411, C0947611, C1705247","Intellectual Product (inpr), Intellectual Product (inpr), Conceptual Entity (cnce)"
23620,84ceda02-d704-478e-b18c-3bad66120a15,"Table 2","
                                    Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)
                                 ","C0332281, C0205217, C0442805, C0035647, C0026848, C0035410, C0450371, C0687133","Qualitative Concept (qlco), Quantitative Concept (qnco), Functional Concept (ftcn), Idea or Concept (idcn), Disease or Syndrome (dsyn), Pathologic Function (patf), Organism Attribute (orga), Molecular Function (moft)"
23621,84ceda02-d704-478e-b18c-3bad66120a15,"Table 2","
                                    Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)
                                 ","C0332281, C0205217, C0442805, C0035647, C0026848, C0035410, C0450371, C0687133","Qualitative Concept (qlco), Quantitative Concept (qnco), Functional Concept (ftcn), Idea or Concept (idcn), Disease or Syndrome (dsyn), Pathologic Function (patf), Organism Attribute (orga), Molecular Function (moft)"
23622,84ceda02-d704-478e-b18c-3bad66120a15,"Table 2","
                                    Interacting Agents
                                 ","C0450442, C1254351, C1521826","Chemical Viewed Functionally (chvf), Pharmacologic Substance (phsu), Intellectual Product (inpr)"
23623,84ceda02-d704-478e-b18c-3bad66120a15,"Table 2","
                                    Prescribing Recommendations
                                 ","C0278329, C0034866","Health Care Activity (hlca), Idea or Concept (idcn)"
25534,ce3ef5cf-3087-4d92-9d94-9eb8287228db,"Table 8","Drug/Drug Class(Mechanism of Interaction by the Drug)","C4036061, C0456387, C1705943, C0441712, C1706376, C1704675, C0013227, C1254351","Finding (fndg), Intellectual Product (inpr), Classification (clas), Functional Concept (ftcn), Manufactured Object (mnob), Functional Concept (ftcn), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
25535,ce3ef5cf-3087-4d92-9d94-9eb8287228db,"Table 8","Voriconazole Plasma Exposure(Cmax and AUC? after 200 mg q12h) ","C0393080, C0032105, C1550098, C0274281, C0332157, C2347813, C0376690, C1442061, C1442442, C1608330, C0026410, C0439269, C1960952, C2346927","Organic Chemical (orch), Body Substance (bdsu), Body Substance (bdsu), Injury or Poisoning (inpo), Clinical Attribute (clna), Quantitative Concept (qnco), Quantitative Concept (qnco), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii)"
