SpecId,TableName,TableCaption,Drug1,Drug2
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,disulfiram
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,fluoxetine
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,antipyrine
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,theophylline
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,naltrexone
10553514-8001-4281-85b6-96d99ef6822a,Table 0,Table without label,Cesamet,alcohol
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,tizanidine
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,theophylline
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,oral drugs
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,antidiabetic
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,antidiabetic drugs
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,phenytoin
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,anti coagulant
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,methotrexate
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,ropinirole
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,clozapine
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,nsaids
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,sildenafil
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,duloxetine
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,caffeine
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,xanthine derivatives
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,antacids
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,sucralfate
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,multivitamins
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,magnesium
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,polymeric
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,sevelamer
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,videx
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,iron
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,zinc
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,aluminum antacids
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,phosphate binder
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,lanthanum carbonate
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,didanosine
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,chewable tablets
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,buffered
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,powder
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,calcium
178dc379-e2b8-4b47-9f0c-3fc7fb435c36,Table 9,Table 9: Drugs That are Affected by and Affecting Ciprofloxacin,ciprofloxacin,probenecid
0224b5a6-25a3-44c9-b94f-90e2e064c164,Table 1,"TABLE 2. Mean (± S.D.) Pharmacokinetic Parameters for Estradiol, Estrone, and Equilin Following Coadministration of Conjugated Estrogens 0.625 mg and PROMETRIUM Capsules 200 mg for 12 Days to Postmenopausal Women ",Prometrium,estradiol
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,iodine
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,radiographic contrast agents
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,antacids
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,aluminium
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,aluminum
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,magnesium sulfate
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,hydroxides
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,cholestyramine resins
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,heroin
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,furosemide
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,mg
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,steroidal anti inflammatory drugs
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,fenamates
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,phenylbutazone
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,salicylates
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,propranolol
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,glucocorticoids
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,propylthiouracil
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,adrenergic antagonists
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,dexamethasone
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,anticoagulants
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,cumarin
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,antidepressants tricyclics
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,amitriptyline
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,maprotilin
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,selective serotonin reuptake inhibitors
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,ssris
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,sertraline
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,biguanides
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,meglitinides
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,sulfonylureas
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,thiazolidinediones
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,insulin
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,antidiabetic agents
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,cardiac glycosides
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,ketamine
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,methyl xanthine
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,methylxanthine
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,bronchodilators
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,theophylline
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,agent
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,sympathomimetics
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,chloral
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,aminosalicylate
2704cdb8-72a4-45cd-b718-d9723a284506,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,thiazide diuretics
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,reductase inhibitor
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,atorvastatin
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,fluvastatin
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,lovastatin
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,pravastatin
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,simvastatin
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,lipid lowering drug
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,fibrates
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,digitalis glycosides
22882f81-84de-456a-8f65-a60b0f3d8062,Table 3,Table 4. Other Potentially Significant Drug Interactions,Colcrys,digoxin
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,iodine
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,radiographic contrast agents
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,antacids
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,aluminium
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,aluminum
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,magnesium sulfate
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,hydroxides
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,cholestyramine resins
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,heroin
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,furosemide
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,mg
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,steroidal anti inflammatory drugs
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,fenamates
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,phenylbutazone
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,salicylates
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,propranolol
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,glucocorticoids
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,propylthiouracil
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,adrenergic antagonists
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,dexamethasone
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,anticoagulants
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,cumarin
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,antidepressants tricyclics
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,amitriptyline
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,maprotilin
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,ssris
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,sertraline
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,selective serotonin reuptake inhibitors
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,biguanides
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,meglitinides
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,sulfonylureas
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,thiazolidinediones
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,insulin
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,antidiabetic agents
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,cardiac glycosides
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,ketamine
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,methyl xanthine
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,methylxanthine
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,bronchodilators
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,theophylline
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,agent
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,sympathomimetics
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,chloral
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,aminosalicylate
00eea4aa-f08e-419a-827a-56e40e93f05f,Table 2,Table 2. Drug-Thyroidal Axis Interactions,Synthroid,thiazide diuretics
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,agent
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,itraconazole
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,ketoconazole
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,posaconazole
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,voriconazole
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,hiv protease inhibitors
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,nefazodone
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,cobicistat
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,danazol
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,verapamil
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,diltiazem
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,dronedarone
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,amiodarone
0c48f867-0fa3-4d52-9830-0f400dd4810e,Table 2,"
Drug Interactions Associated with Increased Risk of  Myopathy/Rhabdomyolysis (
2.3, 
2.4, 
4, 
5.1, 
7.1, 
7.2, 
7.3, 
12.3)
",simvastatin,amlodipine
